OTUs,Domain,Phylum,Class,Order,Family,Genus,Species
61,.gamma.-Muricholic acid ,.gamma.-Muricholic acid ,.gamma.-Muricholic acid ,.gamma.-Muricholic acid ,.gamma.-Muricholic acid ,γ-Muricholic acid,.gamma.-Muricholic acid 
62,12-Ketodeoxycholic acid,12-Ketodeoxycholic acid,12-Ketodeoxycholic acid,12-Ketodeoxycholic acid,12-Ketodeoxycholic acid,12-Ketodeoxycholic acid,12-Ketodeoxycholic acid
63,3.alpha.-Hydroxy-7-oxo-5.beta.-cholanic acid,3.alpha.-Hydroxy-7-oxo-5.beta.-cholanic acid,3.alpha.-Hydroxy-7-oxo-5.beta.-cholanic acid,3.alpha.-Hydroxy-7-oxo-5.beta.-cholanic acid,3.alpha.-Hydroxy-7-oxo-5.beta.-cholanic acid,3α-Hydroxy-7-oxo-5β-cholanic acid,3.alpha.-Hydroxy-7-oxo-5.beta.-cholanic acid
64,3.beta.-Hydroxy-5-cholenoic acid,3.beta.-Hydroxy-5-cholenoic acid,3.beta.-Hydroxy-5-cholenoic acid,3.beta.-Hydroxy-5-cholenoic acid,3.beta.-Hydroxy-5-cholenoic acid,3β-Hydroxy-5-cholenoic acid,3.beta.-Hydroxy-5-cholenoic acid
65,3.beta.-Hydroxy-5-cholenoic acid,3.beta.-Hydroxy-5-cholenoic acid,3.beta.-Hydroxy-5-cholenoic acid,3.beta.-Hydroxy-5-cholenoic acid,3.beta.-Hydroxy-5-cholenoic acid,3β-Hydroxy-5-cholenoic acid,3.beta.-Hydroxy-5-cholenoic acid
66,3.beta.-Hydroxy-5-cholenoic acid,3.beta.-Hydroxy-5-cholenoic acid,3.beta.-Hydroxy-5-cholenoic acid,3.beta.-Hydroxy-5-cholenoic acid,3.beta.-Hydroxy-5-cholenoic acid,3β-Hydroxy-5-cholenoic acid,3.beta.-Hydroxy-5-cholenoic acid
67,3.beta.-Hydroxy-5-cholenoic acid,3.beta.-Hydroxy-5-cholenoic acid,3.beta.-Hydroxy-5-cholenoic acid,3.beta.-Hydroxy-5-cholenoic acid,3.beta.-Hydroxy-5-cholenoic acid,3β-Hydroxy-5-cholenoic acid,3.beta.-Hydroxy-5-cholenoic acid
68,Chenodeoxycholic acid,Chenodeoxycholic acid,Chenodeoxycholic acid,Chenodeoxycholic acid,Chenodeoxycholic acid,Chenodeoxycholic acid,Chenodeoxycholic acid
69,Cholic acid,Cholic acid,Cholic acid,Cholic acid,Cholic acid,Cholic acid,Cholic acid
70,Cholic acid,Cholic acid,Cholic acid,Cholic acid,Cholic acid,Cholic acid,Cholic acid
71,Cholic acid,Cholic acid,Cholic acid,Cholic acid,Cholic acid,Cholic acid,Cholic acid
72,Cholic acid,Cholic acid,Cholic acid,Cholic acid,Cholic acid,Cholic acid,Cholic acid
73,Cholic acid,Cholic acid,Cholic acid,Cholic acid,Cholic acid,Cholic acid,Cholic acid
74,Cholic acid,Cholic acid,Cholic acid,Cholic acid,Cholic acid,Cholic acid,Cholic acid
75,Cholic acid,Cholic acid,Cholic acid,Cholic acid,Cholic acid,Cholic acid,Cholic acid
76,Cholic acid,Cholic acid,Cholic acid,Cholic acid,Cholic acid,Cholic acid,Cholic acid
77,Cholic acid,Cholic acid,Cholic acid,Cholic acid,Cholic acid,Cholic acid,Cholic acid
78,Cholic acid,Cholic acid,Cholic acid,Cholic acid,Cholic acid,Cholic acid,Cholic acid
79,Cholic acid,Cholic acid,Cholic acid,Cholic acid,Cholic acid,Cholic acid,Cholic acid
80,Cholic acid,Cholic acid,Cholic acid,Cholic acid,Cholic acid,Cholic acid,Cholic acid
81,Cholic acid methyl ester,Cholic acid methyl ester,Cholic acid methyl ester,Cholic acid methyl ester,Cholic acid methyl ester,Cholic acid methyl ester,Cholic acid methyl ester
82,Cholic acid methyl ester,Cholic acid methyl ester,Cholic acid methyl ester,Cholic acid methyl ester,Cholic acid methyl ester,Cholic acid methyl ester,Cholic acid methyl ester
83,Cholic acid methyl ester,Cholic acid methyl ester,Cholic acid methyl ester,Cholic acid methyl ester,Cholic acid methyl ester,Cholic acid methyl ester,Cholic acid methyl ester
84,Deoxycholic acid,Deoxycholic acid,Deoxycholic acid,Deoxycholic acid,Deoxycholic acid,Deoxycholic acid,Deoxycholic acid
85,Deoxycholic acid,Deoxycholic acid,Deoxycholic acid,Deoxycholic acid,Deoxycholic acid,Deoxycholic acid,Deoxycholic acid
86,Deoxycholic acid,Deoxycholic acid,Deoxycholic acid,Deoxycholic acid,Deoxycholic acid,Deoxycholic acid,Deoxycholic acid
87,12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14)
88,12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14)
89,12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14)
