570.T5_BF5_01_33362,571.T5_BF6_01_33363,572.T5_BF7_01_33364,573.T5_BF8_01_33365,574.T5_BF9_01_33366,575.T5_BF10_01_33367,576.T5_BF11_01_33368,577.T5_BF12_01_33369,578.T5_BG1_01_33371,580.T5_BG2_01_33372,581.T5_BG3_01_33373,582.T5_BG4_01_33374,583.T5_BG5_01_33375,584.T5_BG6_01_33376,585.T5_BG7_01_33377,586.T5_BG8_01_33378,588.T5_BG9_01_33379,589.T5_BG10_01_33380,590.T5_BG11_01_33381,591.T5_BG12_01_33382,592.T5_BH1_01_33384,593.T5_BH2_01_33385,594.T5_BH3_01_33386,595.T5_BH4_01_33387,596.T5_BH5_01_33388,597.T5_BH6_01_33389,598.T5_BH7_01_33390,599.T5_BH8_01_33391,600.T5_BH9_01_33392,601.T5_BA1_01_33398,602.T5_BA2_01_33399,603.T5_BA3_01_33400
11955,13966,13961,14805,17172,14137,0,5542,14240,12528,9396,0,2776,16122,10103,13105,4014,0,5537,19456,23059,0,13131,5147,19179,15368,4627,16619,9642,43439,11556,19974
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3965,0,0,0,4860,5090,0,0,0,0,0,0
0,0,0,0,10321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11753,0,0,0,12681,9752,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3972,0,0,11361,0,0,0,0,0,0,0,0,0,0,5599,4765,0,0,0,10840,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3961,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8240,0,0,1681,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25578,0,0,0,0
0,0,0,0,0,0,0,0,4060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2862,0,7079,0,0,0,0,0,0
7853,5822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7867,0,0,0,0,0,0,0,0,0,0,4157,6674,0,0
5961,0,4968,6988,0,0,0,0,0,4189,6685,0,0,0,7791,0,11407,0,6609,0,7062,19045,13582,23703,51361,0,13677,12689,14148,13869,21564,13314
17947,14548,10886,15018,25594,27007,0,0,34176,0,7486,14817,13070,19818,10624,8895,0,0,0,32633,9265,0,11548,0,19465,23968,17170,21497,31644,21051,25826,18499
0,0,0,0,0,0,0,0,2788,0,0,0,0,0,0,0,0,0,2171,0,5030,0,0,0,0,0,0,0,1518,4417,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3632,0,0
0,0,0,0,0,34588,0,0,15116,0,0,0,0,0,0,0,0,0,73872,0,0,0,0,0,13644,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5537,0,0,0,0,0,0,0
3921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5676,0,0,0,0,0,9205,0,0,0,0,12750,0,0,0,0,0,7523,0,0,0,6045,8688,0,0,0,0,18854,0,0
7861,5678,8667,0,0,0,0,0,13220,0,18148,0,0,18134,18416,9452,0,0,0,0,21901,0,5010,0,17823,5724,0,15890,0,37025,0,11759
0,0,10700,0,15247,36541,0,0,60229,0,0,0,0,9555,0,0,0,0,136439,0,0,0,14339,0,44219,7253,0,14924,0,6024,0,0
15349,20085,12427,23185,26305,19949,3386,0,34066,14183,14314,14809,9455,18537,5268,24211,0,13866,15071,8785,6333,0,11742,10883,32596,18246,6354,25298,16684,20857,5188,30898
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4181,8717,3187,1624,0,0,3137,13736,6172,8178,4685,3575,35901,23113,9329,2687,3497,3474,5686,4045,7540,14131,0,7910,4078,9521,31561,0,18610,2926,6515
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
