570.T2_RF5_01_33130,571.T2_RF6_01_33131,572.T2_RF7_01_33132,573.T2_RF8_01_33133,574.T2_RF9_01_33134,575.T2_RF10_01_33135,576.T2_RF11_01_33136,577.T2_RF12_01_33137,578.T2_RG1_01_33139,580.T2_RG2_01_33140,581.T2_RG3_01_33141,582.T2_RG4_01_33142,583.T2_RG5_01_33143,584.T2_RG6_01_33144,585.T2_RG7_01_33145,586.T2_RG8_01_33146,588.T2_RG9_01_33147,589.T2_RG10_01_33148,590.T2_RG11_01_33149,591.T2_RG12_01_33150,592.T2_RH1_01_33152,593.T2_RH2_01_33153,594.T2_RH3_01_33154,595.T2_RH4_01_33155,596.T2_RH5_01_33156,597.T2_RH6_01_33157,598.T2_RH7_01_33158,599.T2_RH8_01_33159,600.T2_RH9_01_33160,601.T2_RH10_01_33161,602.T2_RH11_01_33162,603.T2_RH12_01_33163
0,11623,0,0,0,6101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7348,0,20002,55187,15882,7283,6080,18174,5588,8713,0,33268,10474,0,20835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48912,0
0,0,0,0,7088,0,0,0,0,0,0,10748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,0,6804,0,0,0,0,0,0,0,0,0,0,0,0,0,9737
0,0,0,0,0,0,0,10619,0,0,0,0,0,0,0,0,0,3827,7854,4570,19207,9581,16655,0,13261,8119,8418,6484,3946,5973,17230,7569
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9393,0,10318,8168,0,6088,0,0,0,0,0,0,5013,0,0,0,0,31221,0,0,23933,0,0,0,15516,6682,0,0,7660,13089,20060,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22925,6804,12490,6839,20162,3448,3329,8580,14554,20703,10521,33645,26722,38424,22126
24218,92855,29507,27979,0,39504,0,0,43196,0,9263,0,0,87848,0,96661,7357,0,21559,0,0,25758,0,0,0,0,0,0,0,0,0,0
0,17274,0,11345,0,0,0,0,15308,0,30864,0,0,0,24907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
