582.T1_RD8_01_33104,601.T1_RF2_01_33124,585.T1_RD11_01_33107,578.T1_RD5_01_33101,572.T1_RC11_01_33094,602.T1_RF3_01_33128,596.T1_RE9_01_33118,594.T1_RE7_01_33116,575.T1_RD2_01_33098,571.T1_RC10_01_33093,593.T1_RE6_01_33115,589.T1_RE2_01_33111,592.T1_RE5_01_33114,588.T1_RE1_01_33110,590.T1_RE3_01_33112,581.T1_RD7_01_33103,595.T1_RE8_01_33117,599.T1_RE12_01_33121,573.T1_RC12_01_33095,583.T1_RD9_01_33105,570.T1_RC9_01_33092,603.T1_RF4_01_33129,591.T1_RE4_01_33113,576.T1_RD3_01_33099,574.T1_RD1_01_33097,584.T1_RD10_01_33106,597.T1_RE10_01_33119,586.T1_RD12_01_33108,598.T1_RE11_01_33120,580.T1_RD6_01_33102,600.T1_RF1_01_33123,577.T1_RD4_01_33100
0,0,0,0,0,0,6459,11877,0,17506,9004,0,4938,4050,5651,0,0,26973,0,0,0,0,0,0,14855,0,0,0,0,0,6403,29986
0,0,0,0,0,0,0,0,6600,0,0,0,0,0,0,0,0,6257,0,0,0,0,0,0,0,0,0,0,0,7620,0,0
0,0,0,5930,0,0,0,0,0,0,0,0,0,0,0,0,0,5830,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11922,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8482,0,5872,0,0,0,0
0,0,0,5211,0,0,5520,0,0,0,7455,0,0,0,0,9362,0,21218,0,0,0,9596,0,0,17796,6021,0,0,0,11771,7913,0
0,0,0,0,0,0,13782,8532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17503
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6170
0,4086,0,0,0,21118,0,0,0,0,0,6855,0,0,8481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2932,0,0,0,12419,0,0,0,0,0,20848,4015,0,15740,0,0,0,0,1542,0,0,0,0,0,4876,0,5213,0,0,2914,0
0,0,0,0,0,0,0,0,0,0,0,0,0,14871,0,0,0,0,37652,16912,0,0,0,0,0,67533,15977,0,0,0,38075,0
39326,150459,50167,0,53049,121187,0,29431,0,7495,0,105323,34990,14743,150511,16226,0,0,0,0,0,0,69258,0,14837,19769,51830,63277,15213,31762,11718,0
