572.T3_BA3_01_33169,597.T3_BC2_01_33194,589.T3_BB6_01_33185,584.T3_BB2_01_33181,590.T3_BB7_01_33186,598.T3_BC3_01_33195,577.T3_BA8_01_33174,599.T3_BC4_01_33196,588.T3_BB5_01_33184,581.T3_BA11_01_33177,595.T3_BB12_01_33191,585.T3_BB3_01_33182,594.T3_BB11_01_33190,570.T3_BA1_01_33166,592.T3_BB9_01_33188,575.T3_BA6_01_33172,571.T3_BA2_01_33168,580.T3_BA10_01_33176,576.T3_BA7_01_33173,583.T3_BB1_01_33180,602.T3_BC7_01_33199,603.T3_BC8_01_33200,573.T3_BA4_01_33170,582.T3_BA12_01_33178,574.T3_BA5_01_33171,600.T3_BC5_01_33197,578.T3_BA9_01_33175,596.T3_BC1_01_33193,586.T3_BB4_01_33183,601.T3_BC6_01_33198,591.T3_BB8_01_33187,593.T3_BB10_01_33189
24503,0,0,61274,0,0,0,0,39292,0,0,0,8170,0,27315,0,0,20221,22322,0,48927,24000,0,0,0,48399,13164,18677,0,0,0,0
35677,0,0,0,24803,0,0,0,21579,0,50669,14216,0,0,0,0,0,19344,0,0,22291,18599,37352,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,13466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1479,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,734,0,965,0,0,0,0,0,0,0,991,0,0,0,0,0,0,0,0,882,0,0,0,772,0
0,0,0,0,0,0,0,0,30286,0,0,0,0,0,0,0,0,0,0,0,0,10845,27624,0,0,35680,21897,0,0,0,0,0
3244,0,0,0,4703,0,0,0,0,0,9854,0,0,0,0,3692,2788,0,0,0,12208,5438,6612,2829,0,4899,0,3327,2872,0,2182,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,7442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5185,0,0,5292,0,0,30905,22929,15622,10258,5669,3162,9013,0,3119,4010,9858,0,0,17979,11825,0,0,0,1880,0,9679,11119,0,0,0
0,0,0,0,0,0,0,4865,0,0,0,0,0,0,0,0,0,0,0,0,1901,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558,0,0,0
0,25740,9760,0,3988,9773,4551,35095,40961,23676,0,0,0,16000,0,5438,2225,24056,0,5300,11580,62044,12426,4593,0,0,7370,16956,17906,5076,3483,13562
0,0,0,0,0,0,0,4025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38545,49916,41119,9932,50295,29402,62285,42156,37509,17564,36008,18691,39188,18590,28466,67060,73993,5237,24522,16476,4853,17434,26119,64802,19520,12419,30384,13888,12161,56433,26663,15871
0,0,0,0,0,0,0,0,0,0,0,1770,0,0,0,0,0,0,0,0,0,0,0,4085,0,0,0,0,0,0,0,0
34118,0,0,2942,16311,0,0,0,5005,3058,53032,27476,0,11719,0,0,0,9906,3903,9563,40108,45706,19498,0,3447,17239,0,4859,3236,3474,1292,5230
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980,0,0,0,0,0,6190,0,0,1343,0,0,0,0,0,0,0,0,0,0,4497,0,3064,0,0,0,0,0,0,0,0,0
