,T5_578,T5_580,T5_581,T5_582,T5_583,T5_584,T5_585,T5_586,T5_589,T5_591,T5_593,T5_595,T5_597,T5_599,T5_601,T5_603
Cholic acid (NIST14).7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40412
Cholic acid (NIST14).8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).12,0,0,0,0,65913,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).14,0,0,0,0,0,0,0,0,0,0,942425,0,16659,18715,30446,0
Cholic acid (NIST14).15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).16,0,0,0,0,0,0,0,0,0,0,40336,0,0,0,0,0
Cholic acid (NIST14).17,15375,0,0,0,0,37494,9676,0,0,0,42860,0,29282,0,12370,3845
Cholic acid (NIST14).18,0,0,0,0,0,5057,0,0,0,0,48061,0,0,0,4958,0
Cholic acid (NIST14).19,0,0,0,0,0,0,0,0,0,0,3412,3965,4084,0,0,2306
Cholic acid (NIST14).20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).21,0,0,0,0,0,4944,0,0,0,0,0,0,0,5744,0,0
Deoxycholic acid (NIST14),34211,43725,60859,43704,0,83887,0,0,26595,66889,0,0,67799,0,0,0
Deoxycholic acid (NIST14).1,0,217599,1228,91320,50512,0,11687,5069,11855,1631,5341,22864,112510,12542,33373,154942
Deoxycholic acid (NIST14).2,821752,300215,448111,0,27209,0,0,2431,0,449320,0,0,1856,0,0,0
Deoxycholic acid (NIST14).3,0,21667,34757,0,222082,548303,50764,0,50166,0,0,561299,377185,77262,692041,70372
Deoxycholic acid (NIST14).4,0,0,0,0,0,0,0,0,6884,0,0,5106,0,0,0,0
Deoxycholic acid (NIST14).5,0,14778,23851,148568,0,35603,271701,312499,272282,0,434180,67941,0,431425,0,873994
Deoxycholic acid (NIST14).6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deoxycholic acid (NIST14).7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deoxycholic acid (NIST14).8,70011,21079,27858,0,0,0,0,0,0,68063,71671,25788,59641,0,36023,6706
Deoxycholic acid (NIST14).9,0,0,44157,0,0,0,0,0,0,0,0,0,0,0,0,0
Deoxycholic acid (NIST14).10,0,0,0,0,0,0,142207,0,156852,0,0,0,0,0,0,0
Deoxycholic acid (NIST14).11,0,0,0,0,0,0,0,0,0,28110,0,0,0,0,0,0
Deoxycholic acid (NIST14).12,0,0,0,0,0,0,0,0,0,0,0,0,12968,0,0,0
Lithocholic acid (NIST14),21212,5546,17213,0,0,6435,0,6585,7679,16432,4575,34439,29934,5410,24102,23144
