,T5_570,T5_571,T5_572,T5_573,T5_574,T5_575,T5_576,T5_577,T5_578,T5_580,T5_581,T5_582,T5_583,T5_584,T5_585,T5_586
3β-Hydroxy-5-cholenoic acid (NIST14).2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3β-Hydroxy-5-cholenoic acid (NIST14).3,10489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3β-Hydroxy-5-cholenoic acid (NIST14).4,0,181850,0,86772,0,62663,25640,20380,0,0,0,0,90568,69872,0,31453
3β-Hydroxy-5-cholenoic acid (NIST14).5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3β-Hydroxy-5-cholenoic acid (NIST14).6,0,0,0,23286,0,0,0,0,627305,0,0,0,0,0,0,29509
3β-Hydroxy-5-cholenoic acid (NIST14).7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14),0,0,0,7630,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).3,0,0,0,0,0,0,0,0,0,0,6209,0,0,0,0,0
Cholic acid (NIST14).4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).7,0,0,0,0,0,7378,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).10,0,0,0,5973,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).12,0,0,0,0,0,0,0,0,0,0,0,0,65913,0,0,0
Cholic acid (NIST14).13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).14,36906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).17,24090,0,0,0,0,0,0,0,15375,0,0,0,0,37494,9676,0
Cholic acid (NIST14).18,3276,0,0,0,0,0,0,0,0,0,0,0,0,5057,0,0
Cholic acid (NIST14).19,0,2145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).21,0,0,0,0,0,0,0,0,0,0,0,0,0,4944,0,0
Deoxycholic acid (NIST14),0,113278,14979,44786,35520,43391,0,6367,34211,43725,60859,43704,0,83887,0,0
Deoxycholic acid (NIST14).1,33943,21873,17555,11920,3556,18412,10244,0,0,217599,1228,91320,50512,0,11687,5069
Deoxycholic acid (NIST14).2,0,0,0,0,121896,148882,0,118710,821752,300215,448111,0,27209,0,0,2431
Deoxycholic acid (NIST14).3,20334,0,262019,78737,0,95391,0,82163,0,21667,34757,0,222082,548303,50764,0
Deoxycholic acid (NIST14).4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deoxycholic acid (NIST14).5,397109,525989,0,279259,62564,0,109536,0,0,14778,23851,148568,0,35603,271701,312499
Deoxycholic acid (NIST14).6,0,0,0,6192,7346,0,0,0,0,0,0,0,0,0,0,0
Deoxycholic acid (NIST14).7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deoxycholic acid (NIST14).8,161410,157303,0,0,0,0,0,0,70011,21079,27858,0,0,0,0,0
Deoxycholic acid (NIST14).9,0,0,0,0,0,0,0,0,0,0,44157,0,0,0,0,0
Deoxycholic acid (NIST14).10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142207,0
