"","rowid","taxa_id","x","y","zero_ind","Lowest.Rank","W.proportion"
"71",71,"denovo130634",0.595918269252046,1135,"Yes","S24-7",1
"72",72,"denovo239847",0.595297011569873,1135,"Yes","Rikenellaceae",1
"73",73,"denovo454171",-0.593315860167876,1135,"Yes","Clostridiales",1
"74",74,"denovo569337",-0.592764861028932,1135,"Yes","F16",1
"75",75,"denovo109891",0.592576981128677,1135,"Yes","S24-7",1
"76",76,"denovo518409",0.591951351182936,1135,"Yes","Clostridiales",1
"77",77,"denovo66755",0.590689939933046,1135,"Yes","S24-7",1
"78",78,"denovo451367",0.588516820265337,1135,"Yes","S24-7",1
"79",79,"denovo595752",0.588516820265337,1135,"Yes","Dorea",1
"80",80,"denovo405740",0.588321701209998,1135,"Yes","S24-7",1
"81",81,"denovo457787",-0.588271481750576,1135,"Yes","Dorea",1
"82",82,"denovo27967",0.588132889064936,1135,"Yes","S24-7",1
"83",83,"denovo582709",0.587895562583164,1135,"Yes","Bacteroides",1
"84",84,"denovo275923",0.584834125323462,1135,"Yes","Oscillospira",1
"85",85,"denovo20432",0.584549902196227,1135,"Yes","gnavus",1
"86",86,"denovo225095",0.584549902196227,1135,"Yes","CF231",1
"87",87,"denovo293559",0.584549902196227,1135,"Yes","S24-7",1
"88",88,"denovo36980",0.584381838895357,1135,"Yes","S24-7",1
"89",89,"denovo178794",0.581494589187071,1135,"Yes","S24-7",1
"90",90,"denovo562984",0.581305777042009,1135,"Yes","S24-7",1
"91",91,"denovo36612",0.581293345881187,1135,"Yes","Bacteroides",1
"92",92,"denovo418615",0.581293345881187,1135,"Yes","CF231",1
"93",93,"denovo362957",0.577527671117961,1135,"Yes",NA,1
"94",94,"denovo429159",0.577527671117961,1135,"Yes","S24-7",1
"95",95,"denovo247553",0.576265503073237,1135,"Yes","S24-7",1
"96",96,"denovo179916",0.57427111480292,1135,"Yes","S24-7",1
"97",97,"denovo503778",-0.573695407317769,1135,"Yes","[Mogibacteriaceae]",1
"98",98,"denovo12574",-0.571287793423639,1135,"Yes","pseudolongum",1
"99",99,"denovo436554",-0.571287793423639,1135,"Yes","S24-7",1
"100",100,"denovo547512",-0.571287793423639,1135,"Yes","S24-7",1
"101",101,"denovo591188",-0.571287793423639,1135,"Yes","Bacteroidales",1
"102",102,"denovo67723",0.570836583885322,1135,"Yes","S24-7",1
"103",103,"denovo475811",0.57045265268492,1135,"Yes","S24-7",1
"104",104,"denovo428576",0.56719609636988,1135,"Yes","S24-7",1
"105",105,"denovo42511",0.565976804378243,1135,"Yes","S24-7",1
"106",106,"denovo128475",0.565976804378243,1135,"Yes","S24-7",1
"107",107,"denovo322044",0.565976804378243,1135,"Yes","S24-7",1
"108",108,"denovo390434",0.565976804378243,1135,"Yes","Lachnospiraceae",1
"109",109,"denovo276228",0.564684037214401,1135,"Yes","S24-7",1
"110",110,"denovo195207",0.563199402035159,1135,"Yes","CF231",1
"111",111,"denovo91930",-0.562724003046273,1135,"Yes","S24-7",1
"112",112,"denovo10277",0.562720248063202,1135,"Yes","S24-7",1
"113",113,"denovo528486",0.562720248063202,1135,"Yes","S24-7",1
"114",114,"denovo205051",0.559137261194493,1135,"Yes","Bacteroides",1
"115",115,"denovo234394",0.559137261194493,1135,"Yes","CF231",1
"116",116,"denovo249227",0.559137261194493,1135,"Yes","S24-7",1
"117",117,"denovo258051",0.559137261194493,1135,"Yes","acidifaciens",1
"118",118,"denovo369040",0.559137261194493,1135,"Yes","Oscillospira",1
"119",119,"denovo452330",0.559137261194493,1135,"Yes","Bifidobacterium",1
"120",120,"denovo514892",0.559137261194493,1135,"Yes","S24-7",1
"121",121,"denovo343896",0.557804137836699,1135,"Yes","S24-7",1
"122",122,"denovo246784",0.555318799076493,1135,"Yes","S24-7",1
"123",123,"denovo344458",0.554026031912651,1135,"Yes","Coprobacillus",1
"124",124,"denovo476913",0.552172630008464,1135,"Yes","S24-7",1
"125",125,"denovo84698",0.552074673922275,1135,"Yes","S24-7",1
"126",126,"denovo214878",0.552074673922275,1135,"Yes","S24-7",1
"127",127,"denovo79540",0.551735812207785,1135,"Yes","Adlercreutzia",1
"128",128,"denovo288929",0.551735812207785,1135,"Yes","S24-7",1
"129",129,"denovo385747",0.551735812207785,1135,"Yes","Clostridiales",1
"130",130,"denovo443735",0.551735812207785,1135,"Yes","CF231",1
"131",131,"denovo533114",0.551735812207785,1135,"Yes","acidifaciens",1
"132",132,"denovo386462",0.548928504854245,1135,"Yes","S24-7",1
"133",133,"denovo7724",0.548491687053566,1135,"Yes","S24-7",1
"134",134,"denovo515939",0.548491687053566,1135,"Yes","CF231",1
"135",135,"denovo595733",0.548491687053566,1135,"Yes","Clostridiales",1
"136",136,"denovo268638",0.548479255892744,1135,"Yes","S24-7",1
"137",137,"denovo553887",0.548479255892744,1135,"Yes","S24-7",1
"138",138,"denovo322913",0.548296567998227,1135,"Yes","S24-7",1
"139",139,"denovo346232",0.548296567998227,1135,"Yes","S24-7",1
"140",140,"denovo463697",0.548107755853165,1135,"Yes","S24-7",1
"141",141,"denovo242131",0.545671948539204,1135,"Yes","S24-7",1
"142",142,"denovo449064",0.545235130738525,1135,"Yes","CF231",1
"143",143,"denovo52607",0.544713581129518,1135,"Yes","S24-7",1
"144",144,"denovo255352",0.544713581129518,1135,"Yes","S24-7",1
"145",145,"denovo474466",0.544713581129518,1135,"Yes","S24-7",1
"146",146,"denovo124391",0.544524768984456,1135,"Yes","Ruminococcaceae",1
"147",147,"denovo139113",0.544524768984456,1135,"Yes","S24-7",1
"148",148,"denovo150014",0.544524768984456,1135,"Yes","S24-7",1
"149",149,"denovo331598",0.544524768984456,1135,"Yes","Ruminococcaceae",1
"150",150,"denovo52360",0.542088961670495,1135,"Yes",NA,1
"151",151,"denovo317640",0.538459311697558,1135,"Yes","S24-7",1
"152",152,"denovo111612",0.538033173070724,1135,"Yes","Clostridiales",1
"153",153,"denovo43415",0.537833681751817,1135,"Yes","S24-7",1
"154",154,"denovo80616",0.537833681751817,1135,"Yes","S24-7",1
"155",155,"denovo406517",0.537833681751817,1135,"Yes","Clostridiales",1
"156",156,"denovo592093",-0.537184149122352,1135,"Yes","S24-7",1
"157",157,"denovo120210",0.534687512683787,1135,"Yes","S24-7",1
"158",158,"denovo194637",0.534687512683787,1135,"Yes",NA,1
"159",159,"denovo579664",0.533866763682707,1135,"Yes","S24-7",1
"160",160,"denovo440840",0.532189664989479,1135,"Yes",NA,1
"161",161,"denovo264986",0.531248268474229,1135,"Yes","Clostridiales",1
"162",162,"denovo226950",0.531248268474229,1135,"Yes","S24-7",1
"163",163,"denovo43930",0.530622638528488,1135,"Yes","S24-7",1
"164",164,"denovo305715",-0.527840960952399,1135,"Yes","Oscillospira",1
"165",165,"denovo459728",-0.5267637439898,1135,"Yes","[Mogibacteriaceae]",1
"166",166,"denovo374194",0.526759989006729,1135,"Yes","S24-7",1
"167",167,"denovo393237",0.521544090848552,1135,"Yes","S24-7",1
"168",168,"denovo357140",0.521224373085031,1135,"Yes","Clostridiales",1
"169",169,"denovo481874",-0.520604654910119,1135,"Yes","Bacteroidales",1
"170",170,"denovo196116",0.5197695141714,1135,"Yes","S24-7",1
"171",171,"denovo562014",0.519358540020021,1135,"Yes","S24-7",1
"172",172,"denovo334764",-0.517275700097489,1135,"Yes","Clostridiales",1
"173",173,"denovo491883",0.516114414865802,1135,"Yes","S24-7",1
"174",174,"denovo7287",0.516114414865802,1135,"Yes","S24-7",1
"175",175,"denovo405293",-0.514819990424955,1135,"Yes",NA,1
"176",176,"denovo203148",0.512518996836271,1135,"Yes","S24-7",1
"177",177,"denovo431857",0.512431719923927,1135,"Yes","CF231",1
"178",178,"denovo1705",0.512336308941755,1135,"Yes","S24-7",1
"179",179,"denovo87415",0.512336308941755,1135,"Yes","S24-7",1
"180",180,"denovo107041",0.512336308941755,1135,"Yes","S24-7",1
"181",181,"denovo120560",0.512336308941755,1135,"Yes","S24-7",1
"182",182,"denovo349825",0.512336308941755,1135,"Yes","S24-7",1
"183",183,"denovo360361",-0.510590393194153,1135,"Yes","S24-7",1
"184",184,"denovo598330",-0.510590393194153,1135,"Yes","S24-7",1
"185",185,"denovo52259",-0.510039394055209,1135,"Yes","Clostridiales",1
"186",186,"denovo295406",-0.509991298276806,1135,"Yes","S24-7",1
"187",187,"denovo63281",0.509274871682053,1135,"Yes","CF231",1
"188",188,"denovo38098",0.507491910823156,1135,"Yes","S24-7",1
"189",189,"denovo355723",-0.505546014776853,1135,"Yes","CF231",1
"190",190,"denovo79767",0.505496765758005,1135,"Yes","S24-7",1
"191",191,"denovo410394",0.505456409564053,1135,"Yes","S24-7",1
"192",192,"denovo438975",0.505307953612943,1135,"Yes","S24-7",1
"193",193,"denovo545996",0.505307953612943,1135,"Yes","S24-7",1
"194",194,"denovo70151",-0.504476091317694,1135,"Yes","gnavus",1
"195",195,"denovo564490",0.502087126225339,1135,"Yes","S24-7",1
"196",196,"denovo230319",0.501489491494943,1135,"Yes","S24-7",1
"197",197,"denovo122936",0.501252165013171,1135,"Yes","Clostridiales",1
"198",198,"denovo252615",0.499375575001036,1135,"Yes","distasonis",1
"199",199,"denovo100786",0.497906504626234,1135,"Yes","S24-7",1
"200",200,"denovo90900",-0.497824841702082,1135,"Yes","Lachnospiraceae",1
"201",201,"denovo331469",-0.496107201742974,1135,"Yes","Lachnospiraceae",1
"202",202,"denovo518427",-0.495798632492197,1135,"Yes","Ruminococcus",1
"203",203,"denovo233778",0.495451071104861,1135,"Yes","S24-7",1
"204",204,"denovo3850",0.494662379472016,1135,"Yes","S24-7",1
"205",205,"denovo430577",0.494662379472016,1135,"Yes",NA,1
"206",206,"denovo169755",0.491974126014328,1135,"Yes","S24-7",1
"207",207,"denovo497414",0.491974126014328,1135,"Yes","S24-7",1
"208",208,"denovo492975",0.491210704101636,1135,"Yes","S24-7",1
"209",209,"denovo106489",-0.490969940344047,1135,"Yes","S24-7",1
"210",210,"denovo307423",-0.490969940344047,1135,"Yes","S24-7",1
"211",211,"denovo518579",0.490954056844921,1135,"Yes","S24-7",1
"212",212,"denovo576253",-0.489684330615737,1135,"Yes","S24-7",1
"213",213,"denovo178375",-0.488562326449916,1135,"Yes","S24-7",1
"214",214,"denovo284274",-0.488562326449916,1135,"Yes","S24-7",1
"215",215,"denovo372823",-0.488562326449916,1135,"Yes","S24-7",1
"216",216,"denovo124559",-0.487963231532568,1135,"Yes","Bacteroidales",1
"217",217,"denovo175889",-0.487963231532568,1135,"Yes","S24-7",1
"218",218,"denovo173740",0.485134582830578,1135,"Yes","S24-7",1
"219",219,"denovo254258",0.484951894936062,1135,"Yes","S24-7",1
"220",220,"denovo547056",0.484626052921995,1135,"Yes","S24-7",1
"221",221,"denovo430965",0.484004374170266,1135,"Yes","Rikenellaceae",1
"222",222,"denovo29459",-0.482448024573457,1135,"Yes","Bacteroidales",1
"223",223,"denovo234194",-0.482448024573457,1135,"Yes","S24-7",1
"224",224,"denovo257697",0.480997996567375,1135,"Yes","S24-7",1
"225",225,"denovo86273",0.480226268246219,1135,"Yes","Sutterella",1
"226",226,"denovo329289",-0.479815703705496,1135,"Yes","Clostridiales",1
"227",227,"denovo320103",0.47933340680825,1135,"Yes","S24-7",1
"228",228,"denovo371502",0.47933340680825,1135,"Yes","S24-7",1
"229",229,"denovo412243",0.47933340680825,1135,"Yes","S24-7",1
"230",230,"denovo193053",0.47933340680825,1135,"Yes","S24-7",1
"231",231,"denovo284178",0.47933340680825,1135,"Yes","S24-7",1
"232",232,"denovo586310",0.47933340680825,1135,"Yes","Clostridiales",1
"233",233,"denovo405529",-0.479119069760828,1135,"Yes","CF231",1
"234",234,"denovo250857",0.478549169552991,1135,"Yes","S24-7",1
"235",235,"denovo311103",0.47807199555836,1135,"Yes","S24-7",1
"236",236,"denovo87997",0.47792353960725,1135,"Yes",NA,1
"237",237,"denovo402383",-0.477619332425307,1135,"Yes","Clostridiales",1
"238",238,"denovo532275",0.477415009698666,1135,"Yes","S24-7",1
"239",239,"denovo325879",-0.477397970677658,1135,"Yes","S24-7",1
"240",240,"denovo445670",0.476969711931178,1135,"Yes","S24-7",1
"241",241,"denovo552426",0.476076850493209,1135,"Yes","S24-7",1
"242",242,"denovo330300",0.476076850493209,1135,"Yes","Clostridiales",1
"243",243,"denovo179279",0.475650711866375,1135,"Yes","S24-7",1
"244",244,"denovo143249",0.474489008689651,1135,"Yes","Sutterella",1
"245",245,"denovo390828",-0.474213871587387,1135,"Yes","S24-7",1
"246",246,"denovo417642",0.47410507748925,1135,"Yes","S24-7",1
"247",247,"denovo108778",-0.474079134998737,1135,"Yes","S24-7",1
"248",248,"denovo49264",-0.474079134998736,1135,"Yes","Clostridiales",1
"249",249,"denovo39536",-0.473614776670039,1135,"Yes","S24-7",1
"250",250,"denovo8006",0.4724938636245,1135,"Yes","S24-7",1
"251",251,"denovo21120",0.4724938636245,1135,"Yes",NA,1
"252",252,"denovo227693",0.4724938636245,1135,"Yes","distasonis",1
"253",253,"denovo428547",0.4724938636245,1135,"Yes","gnavus",1
"254",254,"denovo507300",0.4724938636245,1135,"Yes","S24-7",1
"255",255,"denovo150421",0.4724938636245,1135,"Yes","S24-7",1
"256",256,"denovo190394",0.4724938636245,1135,"Yes","S24-7",1
"257",257,"denovo273590",0.4724938636245,1135,"Yes","S24-7",1
"258",258,"denovo348132",0.4724938636245,1135,"Yes",NA,1
"259",259,"denovo19342",-0.471882763718548,1135,"Yes","Prevotella",1
"260",260,"denovo83327",-0.471882763718548,1135,"Yes","S24-7",1
"261",261,"denovo583868",-0.471882763718548,1135,"Yes","CF231",1
"262",262,"denovo93233",0.470860952335031,1135,"Yes","S24-7",1
"263",263,"denovo21039",0.470710902765603,1135,"Yes","Lactobacillus",1
"264",264,"denovo338749",0.470710902765603,1135,"Yes","Allobaculum",1
"265",265,"denovo515209",0.470710902765603,1135,"Yes","S24-7",1
"266",266,"denovo321474",0.470522090620541,1135,"Yes","S24-7",1
"267",267,"denovo472507",0.470522090620541,1135,"Yes","S24-7",1
"268",268,"denovo300439",0.47020237285702,1135,"Yes","S24-7",1
"269",269,"denovo546549",0.46949615050758,1135,"Yes","Bacteroides",1
"270",270,"denovo168031",-0.468941873599809,1135,"Yes","Lachnospiraceae",1
"271",271,"denovo587707",-0.468941873599809,1135,"Yes","Lactobacillus",1
"272",272,"denovo278066",0.4686754015065,1135,"Yes","S24-7",1
"273",273,"denovo293219",0.4686754015065,1135,"Yes","Clostridiales",1
"274",274,"denovo300888",0.468249262879666,1135,"Yes","Lachnospiraceae",1
"275",275,"denovo343386",-0.468099569710928,1135,"Yes",NA,1
"276",276,"denovo61266",0.467577753397997,1135,"Yes","Clostridiales",1
"277",277,"denovo30539",0.467277965466322,1135,"Yes","S24-7",1
"278",278,"denovo503700",0.467277965466322,1135,"Yes","S24-7",1
"279",279,"denovo519509",0.467277965466322,1135,"Yes","S24-7",1
"280",280,"denovo322660",0.4665743165024,1135,"Yes","S24-7",1
"281",281,"denovo257778",0.465418845191459,1135,"Yes","S24-7",1
"282",282,"denovo118859",0.465092414637792,1135,"Yes","S24-7",1
"283",283,"denovo212238",0.465092414637792,1135,"Yes","Lactobacillus",1
"284",284,"denovo223971",0.465092414637792,1135,"Yes","Prevotella",1
"285",285,"denovo420929",0.465092414637792,1135,"Yes","Ruminococcaceae",1
"286",286,"denovo572724",0.465092414637792,1135,"Yes","S24-7",1
"287",287,"denovo574452",0.465092414637792,1135,"Yes","S24-7",1
"288",288,"denovo593716",0.465092414637792,1135,"Yes","S24-7",1
"289",289,"denovo214904",0.465092414637791,1135,"Yes","schaedleri",1
"290",290,"denovo216523",0.465092414637791,1135,"Yes","Prevotella",1
"291",291,"denovo254605",0.465092414637791,1135,"Yes","Bifidobacterium",1
"292",292,"denovo285310",0.465092414637791,1135,"Yes",NA,1
"293",293,"denovo499916",0.465005137725448,1135,"Yes","S24-7",1
"294",294,"denovo52853",0.463499859542275,1135,"Yes","S24-7",1
"295",295,"denovo63531",0.463499859542275,1135,"Yes","Christensenella",1
"296",296,"denovo76972",0.463499859542275,1135,"Yes","S24-7",1
"297",297,"denovo159338",0.463499859542275,1135,"Yes","S24-7",1
"298",298,"denovo49434",-0.463318973341182,1135,"Yes",NA,1
"299",299,"denovo436291",-0.463270877562778,1135,"Yes","S24-7",1
"300",300,"denovo446784",-0.463270877562778,1135,"Yes","Oscillospira",1
"301",301,"denovo145771",-0.463049515815129,1135,"Yes","Ruminococcaceae",1
"302",302,"denovo254402",0.461848289483573,1135,"Yes","Clostridiales",1
"303",303,"denovo368052",0.461848289483573,1135,"Yes","S24-7",1
"304",304,"denovo425910",0.461848289483573,1135,"Yes","S24-7",1
"305",305,"denovo581091",0.461848289483573,1135,"Yes","S24-7",1
"306",306,"denovo593101",0.461848289483573,1135,"Yes","S24-7",1
"307",307,"denovo189785",0.461835858322751,1135,"Yes","Bacteroides",1
"308",308,"denovo76460",0.461653170428234,1135,"Yes","Prevotella",1
"309",309,"denovo235036",0.461653170428234,1135,"Yes","Clostridiales",1
"310",310,"denovo496650",0.461653170428234,1135,"Yes","Bacteroides",1
"311",311,"denovo432117",0.461409719695917,1135,"Yes","S24-7",1
"312",312,"denovo12948",0.4612270318014,1135,"Yes","S24-7",1
"313",313,"denovo94353",0.4612270318014,1135,"Yes","acidifaciens",1
"314",314,"denovo175737",0.461038219656338,1135,"Yes","CF231",1
"315",315,"denovo541032",-0.459055795573476,1135,"Yes","Clostridiales",1
"316",316,"denovo4465",0.458689689254721,1135,"Yes",NA,1
"317",317,"denovo370157",0.458689689254721,1135,"Yes","S24-7",1
"318",318,"denovo203675",0.458591733168532,1135,"Yes","S24-7",1
"319",319,"denovo136096",0.458591733168532,1135,"Yes","Oscillospira",1
"320",320,"denovo240974",0.458165594541698,1135,"Yes","S24-7",1
"321",321,"denovo36988",0.457881371414463,1135,"Yes","S24-7",1
"322",322,"denovo134811",0.457881371414463,1135,"Yes","S24-7",1
"323",323,"denovo245173",0.457881371414463,1135,"Yes",NA,1
"324",324,"denovo268639",0.457881371414463,1135,"Yes",NA,1
"325",325,"denovo293571",0.457881371414463,1135,"Yes","S24-7",1
"326",326,"denovo338937",0.457881371414463,1135,"Yes","S24-7",1
"327",327,"denovo369214",0.457881371414463,1135,"Yes","S24-7",1
"328",328,"denovo419386",0.457881371414463,1135,"Yes","Clostridiales",1
"329",329,"denovo229264",0.457881371414463,1135,"Yes","S24-7",1
"330",330,"denovo258910",0.457881371414463,1135,"Yes","CF231",1
"331",331,"denovo481237",0.457881371414463,1135,"Yes","S24-7",1
"332",332,"denovo63432",-0.457534308856018,1135,"Yes","S24-7",1
"333",333,"denovo67064",-0.45693521393867,1135,"Yes","distasonis",1
"334",334,"denovo549429",-0.454263781345984,1135,"Yes","Ruminococcaceae",1
"335",335,"denovo170785",0.454198676472588,1135,"Yes","Rikenellaceae",1
"336",336,"denovo460715",0.454198676472588,1135,"Yes","distasonis",1
"337",337,"denovo277186",0.452757310642814,1135,"Yes","S24-7",1
"338",338,"denovo120695",-0.452705616707868,1135,"Yes","Oscillospira",1
"339",339,"denovo50126",-0.452262310868441,1135,"Yes","S24-7",1
"340",340,"denovo401559",0.450806352981422,1135,"Yes","Clostridiales",1
"341",341,"denovo361299",0.450569026499651,1135,"Yes","Lachnospiraceae",1
"342",342,"denovo41183",-0.448479116860821,1135,"Yes","S24-7",1
"343",343,"denovo191426",0.448232927258856,1135,"Yes","AF12",1
"344",344,"denovo82235",0.448044115113794,1135,"Yes","CF231",1
"345",345,"denovo339419",0.447412178257776,1135,"Yes","CF231",1
"346",346,"denovo404725",0.447223366112714,1135,"Yes","S24-7",1
"347",347,"denovo507775",0.445735079564548,1135,"Yes","Clostridiales",1
"348",348,"denovo424422",0.444168053103557,1135,"Yes","S24-7",1
"349",349,"denovo298673",-0.441841905735889,1135,"Yes","S24-7",1
"350",350,"denovo363274",-0.441841905735889,1135,"Yes",NA,1
"351",351,"denovo282600",0.440201135034447,1135,"Yes","S24-7",1
"352",352,"denovo494227",0.440116591436736,1135,"Yes","S24-7",1
"353",353,"denovo199079",0.440116591436736,1135,"Yes","S24-7",1
"354",354,"denovo494609",0.440116591436736,1135,"Yes","S24-7",1
"355",355,"denovo552567",0.440116591436736,1135,"Yes","S24-7",1
"356",356,"denovo571999",-0.437913856005911,1135,"Yes","S24-7",1
"357",357,"denovo66980",-0.437013213587739,1135,"Yes","CF231",1
"358",358,"denovo259731",-0.437013213587739,1135,"Yes","Ruminococcaceae",1
"359",359,"denovo17409",-0.436368871234256,1135,"Yes","Clostridiales",1
"360",360,"denovo28908",0.433946865602487,1135,"Yes","S24-7",1
"361",361,"denovo430247",0.431122587354511,1135,"Yes","S24-7",1
"362",362,"denovo83704",-0.430677549963631,1135,"Yes","S24-7",1
"363",363,"denovo468345",-0.430677549963631,1135,"Yes",NA,1
"364",364,"denovo76727",0.429471017295809,1135,"Yes","Lachnospiraceae",1
"365",365,"denovo328096",0.429471017295809,1135,"Yes","S24-7",1
"366",366,"denovo180231",0.429458586134987,1135,"Yes","S24-7",1
"367",367,"denovo93228",0.428650268294729,1135,"Yes","S24-7",1
"368",368,"denovo110315",0.428650268294729,1135,"Yes","S24-7",1
"369",369,"denovo155061",0.428650268294729,1135,"Yes","S24-7",1
"370",370,"denovo245230",0.428650268294729,1135,"Yes","S24-7",1
"371",371,"denovo308994",0.428650268294729,1135,"Yes","S24-7",1
"372",372,"denovo336508",0.428650268294729,1135,"Yes","Bacteroides",1
"373",373,"denovo411897",0.428650268294729,1135,"Yes","S24-7",1
"374",374,"denovo134415",-0.428176592854962,1135,"Yes","S24-7",1
"375",375,"denovo318763",-0.428176592854962,1135,"Yes","Oscillospira",1
"376",376,"denovo88679",0.425875599266278,1135,"Yes","CF231",1
"377",377,"denovo331349",0.425875599266278,1135,"Yes","S24-7",1
"378",378,"denovo110772",-0.425556133333697,1135,"Yes","S24-7",1
"379",379,"denovo160546",0.425504099226699,1135,"Yes","Lachnospiraceae",1
"380",380,"denovo188975",0.425504099226699,1135,"Yes","S24-7",1
"381",381,"denovo210683",0.425504099226699,1135,"Yes","Oscillospira",1
"382",382,"denovo57687",-0.42394699562416,1135,"Yes","S24-7",1
"383",383,"denovo65010",-0.42394699562416,1135,"Yes","S24-7",1
"384",384,"denovo512579",0.423734158068226,1135,"Yes","S24-7",1
"385",385,"denovo384848",0.421810725110979,1135,"Yes","S24-7",1
"386",386,"denovo395163",0.421810725110979,1135,"Yes","S24-7",1
"387",387,"denovo440234",0.421810725110979,1135,"Yes","CF231",1
"388",388,"denovo455629",0.421810725110979,1135,"Yes","S24-7",1
