"","rowid","taxa_id","x","y","zero_ind","Lowest.Rank","W.proportion"
"72",72,"denovo419196",0.632330574750071,1768,"Yes","Ruminococcaceae",1
"73",73,"denovo298932",-0.63174310568318,1768,"Yes","S24-7",1
"74",74,"denovo268639",-0.628005579740414,1768,"Yes",NA,1
"75",75,"denovo588774",-0.626710341704415,1768,"Yes","RF39",1
"76",76,"denovo572742",-0.625956004702633,1768,"Yes","gnavus",1
"77",77,"denovo117526",0.625837425763485,1768,"Yes","Lachnospiraceae",1
"78",78,"denovo245503",-0.623390539145507,1768,"Yes","Clostridiales",1
"79",79,"denovo121748",0.622867101254197,1768,"Yes","S24-7",1
"80",80,"denovo347873",-0.622706636292074,1768,"Yes",NA,1
"81",81,"denovo488761",-0.622297075255338,1768,"Yes","Sutterella",1
"82",82,"denovo597115",-0.622157434956363,1768,"Yes","S24-7",1
"83",83,"denovo342660",-0.619473348078376,1768,"Yes","S24-7",1
"84",84,"denovo134811",-0.6186787960822,1768,"Yes","S24-7",1
"85",85,"denovo284029",0.618652054739236,1768,"Yes","S24-7",1
"86",86,"denovo67064",-0.617098218202816,1768,"Yes","distasonis",1
"87",87,"denovo367746",-0.61573582213561,1768,"Yes","schaedleri",1
"88",88,"denovo559136",0.615234201264776,1768,"Yes","S24-7",1
"89",89,"denovo288777",-0.614990875478673,1768,"Yes","S24-7",1
"90",90,"denovo169229",-0.610516565226092,1768,"Yes","S24-7",1
"91",91,"denovo176992",-0.609931658725126,1768,"Yes","S24-7",1
"92",92,"denovo83945",0.609869102728938,1768,"Yes","S24-7",1
"93",93,"denovo83327",0.609869102728938,1768,"Yes","S24-7",1
"94",94,"denovo232843",0.609054443437118,1768,"Yes","AF12",1
"95",95,"denovo331469",0.609054443437118,1768,"Yes","Lachnospiraceae",1
"96",96,"denovo253264",0.608855138839754,1768,"Yes","S24-7",1
"97",97,"denovo407756",-0.608508218854416,1768,"Yes","distasonis",1
"98",98,"denovo318064",-0.608242039384842,1768,"Yes","acidifaciens",1
"99",99,"denovo439181",-0.608242039384842,1768,"Yes","S24-7",1
"100",100,"denovo207463",-0.60489889474636,1768,"Yes","S24-7",1
"101",101,"denovo22477",-0.602838994638716,1768,"Yes","S24-7",1
"102",102,"denovo443214",-0.602800804412691,1768,"Yes","S24-7",1
"103",103,"denovo348132",0.599854487417226,1768,"Yes",NA,1
"104",104,"denovo87643",0.598117776534802,1768,"Yes","acidifaciens",1
"105",105,"denovo166641",-0.597600857316818,1768,"Yes","S24-7",1
"106",106,"denovo277289",-0.597183133932959,1768,"Yes","Clostridiales",1
"107",107,"denovo424422",-0.596916954463385,1768,"Yes","S24-7",1
"108",108,"denovo540192",0.595375923426282,1768,"Yes","S24-7",1
"109",109,"denovo200974",0.592868420990341,1768,"Yes",NA,1
"110",110,"denovo550114",0.592072156513387,1768,"Yes",NA,1
"111",111,"denovo100329",-0.590434297839129,1768,"Yes","Streptococcus",1
"112",112,"denovo117334",-0.590434297839128,1768,"Yes","S24-7",1
"113",113,"denovo49434",0.589564654077446,1768,"Yes",NA,1
"114",114,"denovo304770",-0.589200103606633,1768,"Yes","S24-7",1
"115",115,"denovo127161",-0.585881391091076,1768,"Yes","Prevotella",1
"116",116,"denovo481401",-0.585881391091076,1768,"Yes","S24-7",1
"117",117,"denovo519509",0.584532119415853,1768,"Yes","S24-7",1
"118",118,"denovo414767",0.58307150509086,1768,"Yes","Bacteroides",1
"119",119,"denovo172280",0.582830925579139,1768,"Yes","RF39",1
"120",120,"denovo203862",0.578076265030763,1768,"Yes","Ruminococcaceae",1
"121",121,"denovo537796",-0.57302771596145,1768,"Yes","Clostridiales",1
"122",122,"denovo80616",-0.567815366995547,1768,"Yes","S24-7",1
"123",123,"denovo134967",-0.559564305020419,1768,"Yes","S24-7",1
"124",124,"denovo579710",0.558320318093611,1768,"Yes","S24-7",1
"125",125,"denovo367171",-0.556748564623905,1768,"Yes","S24-7",1
"126",126,"denovo359217",-0.555775505303115,1768,"Yes","S24-7",1
"127",127,"denovo88679",0.554934271524054,1768,"Yes","CF231",1
"128",128,"denovo347433",-0.547782704947822,1768,"Yes","S24-7",1
"129",129,"denovo534397",0.545687177180078,1768,"Yes","S24-7",1
"130",130,"denovo9026",-0.543865513880692,1768,"Yes","S24-7",1
"131",131,"denovo3218",-0.543410088772903,1768,"Yes","Clostridiales",1
"132",132,"denovo347992",-0.54322979819977,1768,"Yes","S24-7",1
"133",133,"denovo411923",0.539527470597099,1768,"Yes","schaedleri",1
"134",134,"denovo390828",-0.536747141575514,1768,"Yes","S24-7",1
"135",135,"denovo485414",-0.536747141575514,1768,"Yes","Clostridiales",1
"136",136,"denovo24302",0.536356483338273,1768,"Yes","RF39",1
"137",137,"denovo120283",-0.53546443204713,1768,"Yes","Desulfovibrionaceae",1
"138",138,"denovo391149",-0.535198252577556,1768,"Yes","Bacteroides",1
"139",139,"denovo137564",-0.532829950508383,1768,"Yes","Lachnospiraceae",1
"140",140,"denovo175889",-0.531955711973385,1768,"Yes","S24-7",1
"141",141,"denovo192842",0.530271946286817,1768,"Yes","Allobaculum",1
"142",142,"denovo269070",0.530271946286817,1768,"Yes","S24-7",1
"143",143,"denovo351457",-0.529220626400327,1768,"Yes","Lachnospiraceae",1
"144",144,"denovo339419",-0.528346387865329,1768,"Yes","CF231",1
"145",145,"denovo244421",-0.527531007060044,1768,"Yes","Bacteroides",1
"146",146,"denovo493597",-0.525483100457561,1768,"Yes","S24-7",1
"147",147,"denovo227333",-0.524139347125673,1768,"Yes","Ruminococcaceae",1
"148",148,"denovo272350",0.523871660192118,1768,"Yes","Lachnospiraceae",1
"149",149,"denovo97099",-0.523288261155133,1768,"Yes","CF231",1
"150",150,"denovo246554",0.523008005746715,1768,"Yes","S24-7",1
"151",151,"denovo229009",0.522211741269761,1768,"Yes","RF39",1
"152",152,"denovo325879",-0.516077720303876,1768,"Yes","S24-7",1
"153",153,"denovo192645",0.516052034686782,1768,"Yes","S24-7",1
"154",154,"denovo592886",-0.5153922097686,1768,"Yes","S24-7",1
"155",155,"denovo398310",0.511016978570221,1768,"Yes","Clostridiales",1
"156",156,"denovo363798",0.510410839593512,1768,"Yes","S24-7",1
"157",157,"denovo557309",-0.509328884210045,1768,"Yes","S24-7",1
"158",158,"denovo355169",0.506889373268387,1768,"Yes","S24-7",1
"159",159,"denovo362957",0.506225023420348,1768,"Yes",NA,1
"160",160,"denovo106556",-0.504406856254318,1768,"Yes","Clostridiales",1
"161",161,"denovo726",0.503585552846904,1768,"Yes","RF39",1
"162",162,"denovo258210",-0.503532617719319,1768,"Yes","S24-7",1
"163",163,"denovo477033",-0.503241698933424,1768,"Yes","S24-7",1
"164",164,"denovo216523",0.502921256507453,1768,"Yes","Prevotella",1
"165",165,"denovo283067",0.502921256507453,1768,"Yes",NA,1
"166",166,"denovo488554",0.502921256507453,1768,"Yes",NA,1
"167",167,"denovo179676",-0.496155983794306,1768,"Yes","Bifidobacterium",1
"168",168,"denovo190627",-0.493182375367171,1768,"Yes","Clostridiales",1
"169",169,"denovo376005",0.490212083516685,1768,"Yes","S24-7",1
"170",170,"denovo508106",-0.48981335192638,1768,"Yes","S24-7",1
"171",171,"denovo552426",-0.488989424316616,1768,"Yes","S24-7",1
"172",172,"denovo584754",-0.48857986327988,1768,"Yes","Anaerostipes",1
"173",173,"denovo383387",0.487265446102472,1768,"Yes","Bacteroides",1
"174",174,"denovo582727",0.483706104847321,1768,"Yes","Clostridiales",1
"175",175,"denovo240878",-0.483011798139387,1768,"Yes","S24-7",1
"176",176,"denovo285310",-0.482516812800793,1768,"Yes",NA,1
"177",177,"denovo324742",0.480415167617203,1768,"Yes","Lactobacillus",1
"178",178,"denovo205051",-0.479693085623831,1768,"Yes","Bacteroides",1
"179",179,"denovo29459",-0.478947048923543,1768,"Yes","Bacteroidales",1
"180",180,"denovo443667",-0.478897443584304,1768,"Yes","Clostridiales",1
"181",181,"denovo455269",-0.478897443584304,1768,"Yes","CF231",1
"182",182,"denovo135370",-0.478458891391335,1768,"Yes","S24-7",1
"183",183,"denovo281156",0.476067341448172,1768,"Yes","S24-7",1
"184",184,"denovo333631",-0.473456208612153,1768,"Yes","Clostridiales",1
"185",185,"denovo399094",0.473406221090827,1768,"Yes","S24-7",1
"186",186,"denovo556373",-0.471976234767079,1768,"Yes","S24-7",1
"187",187,"denovo540725",0.471858645175517,1768,"Yes","S24-7",1
"188",188,"denovo215766",-0.471292331913646,1768,"Yes","S24-7",1
"189",189,"denovo56465",-0.471231288110142,1768,"Yes","S24-7",1
"190",190,"denovo306519",-0.47123019806679,1768,"Yes","CF231",1
"191",191,"denovo364067",-0.470286615426795,1768,"Yes","S24-7",1
"192",192,"denovo341715",0.469907634865193,1768,"Yes","Lactobacillus",1
"193",193,"denovo260602",0.469574192461585,1768,"Yes","Lachnospiraceae",1
"194",194,"denovo368941",0.469574192461585,1768,"Yes","distasonis",1
"195",195,"denovo45461",0.469021100320299,1768,"Yes","S24-7",1
"196",196,"denovo345171",-0.468917202038085,1768,"Yes","S24-7",1
"197",197,"denovo209084",-0.468547201232155,1768,"Yes","S24-7",1
"198",198,"denovo162427",-0.468366910659023,1768,"Yes","Oscillospira",1
"199",199,"denovo216136",-0.468366910659023,1768,"Yes","Lachnospiraceae",1
"200",200,"denovo557654",-0.468366910659023,1768,"Yes","S24-7",1
"201",201,"denovo225679",0.467319906483586,1768,"Yes","acidifaciens",1
"202",202,"denovo285466",0.46627042554869,1768,"Yes","S24-7",1
"203",203,"denovo121948",-0.466172071356595,1768,"Yes","S24-7",1
"204",204,"denovo591188",-0.466172071356595,1768,"Yes","Bacteroidales",1
"205",205,"denovo323282",0.464902674115585,1768,"Yes","S24-7",1
"206",206,"denovo586672",-0.464482452016311,1768,"Yes","S24-7",1
"207",207,"denovo384848",0.46376292311275,1768,"Yes","S24-7",1
"208",208,"denovo193053",-0.463120055949105,1768,"Yes","S24-7",1
"209",209,"denovo195059",-0.462434545413829,1768,"Yes","Clostridiales",1
"210",210,"denovo446654",-0.462434545413829,1768,"Yes","Lactobacillus",1
"211",211,"denovo562014",-0.462434545413829,1768,"Yes","S24-7",1
"212",212,"denovo498147",0.462395171679644,1768,"Yes","Clostridiales",1
"213",213,"denovo319792",-0.461200351181334,1768,"Yes","Lactobacillus",1
"214",214,"denovo203148",0.46102107000423,1768,"Yes","S24-7",1
"215",215,"denovo50126",0.460687627600623,1768,"Yes","S24-7",1
"216",216,"denovo323127",-0.460256768541337,1768,"Yes","S24-7",1
"217",217,"denovo148532",-0.460195724737833,1768,"Yes","S24-7",1
"218",218,"denovo7824",-0.460194634694482,1768,"Yes","S24-7",1
"219",219,"denovo237213",-0.459510731841049,1768,"Yes","CF231",1
"220",220,"denovo535209",0.459284359121805,1768,"Yes","CF231",1
"221",221,"denovo160903",0.459043779610085,1768,"Yes","Clostridiales",1
"222",222,"denovo120560",0.458950916718197,1768,"Yes","S24-7",1
"223",223,"denovo211611",-0.458645745696524,1768,"Yes","S24-7",1
"224",224,"denovo118859",0.458180125164682,1768,"Yes","S24-7",1
"225",225,"denovo415800",0.458180125164682,1768,"Yes",NA,1
"226",226,"denovo475245",0.457583165285091,1768,"Yes","S24-7",1
"227",227,"denovo375397",0.457269774126163,1768,"Yes","S24-7",1
"228",228,"denovo514892",0.457269774126163,1768,"Yes","S24-7",1
"229",229,"denovo329645",0.456812373731575,1768,"Yes","S24-7",1
"230",230,"denovo583868",0.456443414282257,1768,"Yes","CF231",1
"231",231,"denovo503960",0.454469523872442,1768,"Yes","S24-7",1
"232",232,"denovo410543",-0.453537308061093,1768,"Yes","S24-7",1
"233",233,"denovo226496",-0.453028075216792,1768,"Yes","Clostridiales",1
"234",234,"denovo258910",-0.453028075216792,1768,"Yes","CF231",1
"235",235,"denovo379812",0.452884073027106,1768,"Yes","Clostridiales",1
"236",236,"denovo452513",0.452884073027106,1768,"Yes","Clostridiales",1
"237",237,"denovo168031",-0.452212694411507,1768,"Yes","Lachnospiraceae",1
"238",238,"denovo159338",0.451904675590325,1768,"Yes","S24-7",1
"239",239,"denovo38542",0.451224154104748,1768,"Yes","S24-7",1
"240",240,"denovo518427",-0.451109460492372,1768,"Yes","Ruminococcus",1
"241",241,"denovo36439",0.450948057547317,1768,"Yes","AF12",1
"242",242,"denovo531085",-0.450165877852376,1768,"Yes","Prevotella",1
"243",243,"denovo330359",-0.450103744005521,1768,"Yes","Rikenellaceae",1
"244",244,"denovo244278",0.44995026529567,1768,"Yes",NA,1
"245",245,"denovo241776",0.449487443222324,1768,"Yes","Oscillospira",1
"246",246,"denovo443735",-0.449419841152088,1768,"Yes","CF231",1
"247",247,"denovo135712",0.448716651668808,1768,"Yes","Ruminococcaceae",1
"248",248,"denovo172286",0.448716651668808,1768,"Yes",NA,1
"249",249,"denovo581091",0.448582513862564,1768,"Yes","S24-7",1
"250",250,"denovo10277",0.443628548716824,1768,"Yes","S24-7",1
"251",251,"denovo416069",-0.442937184527831,1768,"Yes","CF231",1
"252",252,"denovo155306",0.441063700434707,1768,"Yes",NA,1
"253",253,"denovo236696",0.440579654691683,1768,"Yes","S24-7",1
"254",254,"denovo195738",0.439695949001601,1768,"Yes","Lachnospiraceae",1
"255",255,"denovo403910",-0.438185546163055,1768,"Yes","Clostridiales",1
"256",256,"denovo471364",0.437135399730238,1768,"Yes","S24-7",1
"257",257,"denovo570828",0.437135399730238,1768,"Yes",NA,1
"258",258,"denovo586173",0.435646979632218,1768,"Yes","S24-7",1
"259",259,"denovo511093",-0.434955244244856,1768,"Yes","S24-7",1
"260",260,"denovo132864",0.434903993851728,1768,"Yes","S24-7",1
"261",261,"denovo9667",-0.434467086712648,1768,"Yes","Oscillospira",1
"262",262,"denovo313707",-0.434467086712648,1768,"Yes","schaedleri",1
"263",263,"denovo574558",0.431600226938833,1768,"Yes","S24-7",1
"264",264,"denovo108778",-0.427059192858322,1768,"Yes","S24-7",1
"265",265,"denovo346560",-0.424055779627016,1768,"Yes","S24-7",1
"266",266,"denovo156557",0.422089128286296,1768,"Yes","S24-7",1
"267",267,"denovo225095",0.419581625850355,1768,"Yes","CF231",1
"268",268,"denovo44707",-0.411478278483442,1768,"Yes","S24-7",1
"269",269,"denovo58729",-0.411202205564597,1768,"Yes","S24-7",1
"270",270,"denovo308898",-0.409968011332102,1768,"Yes","S24-7",1
"271",271,"denovo83704",0.409784709950873,1768,"Yes","S24-7",1
"272",272,"denovo92492",0.409784709950873,1768,"Yes","Bacteroides",1
"273",273,"denovo333671",0.408360641096564,1768,"Yes","S24-7",1
"274",274,"denovo80649",0.405728453849925,1768,"Yes","Clostridiales",1
"275",275,"denovo481729",-0.404712878673787,1768,"Yes","Clostridiales",1
"276",276,"denovo358999",0.400264919033797,1768,"Yes","S24-7",1
"277",277,"denovo499101",-0.398736702638567,1768,"Yes","S24-7",1
"278",278,"denovo111612",-0.395912975461606,1768,"Yes","Clostridiales",1
"279",279,"denovo569337",-0.395912975461606,1768,"Yes","F16",1
"280",280,"denovo537579",-0.393993270693834,1768,"Yes","S24-7",1
"281",281,"denovo66980",-0.393993270693834,1768,"Yes","CF231",1
"282",282,"denovo448350",-0.393993270693834,1768,"Yes","Clostridiales",1
"283",283,"denovo340005",-0.393813795084585,1768,"Yes","Clostridiales",1
"284",284,"denovo567476",0.392218893977874,1768,"Yes","Ruminococcus",1
"285",285,"denovo215326",-0.389440363945782,1768,"Yes","Clostridiales",1
"286",286,"denovo229656",0.389423943878179,1768,"Yes","S24-7",1
"287",287,"denovo449096",0.389423943878179,1768,"Yes","S24-7",1
"288",288,"denovo532312",-0.388236250912869,1768,"Yes","S24-7",1
"289",289,"denovo368328",-0.388196124604853,1768,"Yes","Ruminococcaceae",1
"290",290,"denovo474466",0.388056192445073,1768,"Yes","S24-7",1
"291",291,"denovo373080",0.387722750041465,1768,"Yes","Candidatus Arthromitus",1
"292",292,"denovo161687",-0.386647235606895,1768,"Yes","S24-7",1
"293",293,"denovo361351",-0.385820994729293,1768,"Yes","S24-7",1
"294",294,"denovo205422",-0.385820994729293,1768,"Yes","S24-7",1
"295",295,"denovo182201",-0.384648934343653,1768,"Yes","Ruminococcaceae",1
"296",296,"denovo203929",-0.384586800496798,1768,"Yes","S24-7",1
"297",297,"denovo244045",-0.384538285200909,1768,"Yes","Oscillospira",1
"298",298,"denovo345600",0.383971913863457,1768,"Yes","Clostridiales",1
"299",299,"denovo141457",-0.383783948199128,1768,"Yes","S24-7",1
"300",300,"denovo336931",0.38335238036159,1768,"Yes","S24-7",1
"301",301,"denovo112246",0.383148494303822,1768,"Yes","S24-7",1
"302",302,"denovo54770",-0.382957707321525,1768,"Yes","Bacteroides",1
"303",303,"denovo28429",0.382930794891592,1768,"Yes","gnavus",1
"304",304,"denovo347501",0.382930794891592,1768,"Yes","Coprococcus",1
"305",305,"denovo570013",-0.38172351308903,1768,"Yes","Ruminococcaceae",1
"306",306,"denovo275341",0.379627027978698,1768,"Yes","Lactobacillus",1
"307",307,"denovo503568",0.378722098618938,1768,"Yes","schaedleri",1
"308",308,"denovo268704",0.378449402045836,1768,"Yes","Lactobacillus",1
"309",309,"denovo473594",-0.378294479554106,1768,"Yes","S24-7",1
"310",310,"denovo258051",-0.378294479554106,1768,"Yes","acidifaciens",1
"311",311,"denovo598330",-0.378166277719396,1768,"Yes","S24-7",1
"312",312,"denovo454176",0.377119525542757,1768,"Yes","CF231",1
"313",313,"denovo431857",-0.375791147843836,1768,"Yes","CF231",1
"314",314,"denovo520330",-0.375791147843836,1768,"Yes","S24-7",1
"315",315,"denovo349655",-0.374556953611341,1768,"Yes","S24-7",1
"316",316,"denovo430834",-0.374556953611341,1768,"Yes","Clostridiales",1
"317",317,"denovo597251",-0.374556953611341,1768,"Yes","S24-7",1
"318",318,"denovo154863",-0.37455695361134,1768,"Yes","Clostridiales",1
"319",319,"denovo140006",0.374377672434237,1768,"Yes","S24-7",1
"320",320,"denovo403230",0.374377672434237,1768,"Yes","S24-7",1
"321",321,"denovo190274",-0.374101528503551,1768,"Yes",NA,1
"322",322,"denovo267792",-0.374101528503551,1768,"Yes","S24-7",1
"323",323,"denovo21039",0.374044230030629,1768,"Yes","Lactobacillus",1
"324",324,"denovo304365",0.373690442486707,1768,"Yes","S24-7",1
"325",325,"denovo19342",-0.373551237124489,1768,"Yes","Prevotella",1
"326",326,"denovo170785",0.373467321395718,1768,"Yes","Rikenellaceae",1
"327",327,"denovo553092",0.373467321395718,1768,"Yes","S24-7",1
"328",328,"denovo419894",-0.372867334271056,1768,"Yes","CF231",1
"329",329,"denovo240820",0.37062637655617,1768,"Yes","CF231",1
"330",330,"denovo252477",0.37062637655617,1768,"Yes","acidifaciens",1
"331",331,"denovo461551",-0.370122203589566,1768,"Yes","S24-7",1
"332",332,"denovo424795",0.369800016712264,1768,"Yes","S24-7",1
"333",333,"denovo254402",0.369258625123064,1768,"Yes","Clostridiales",1
"334",334,"denovo348317",-0.367258916181798,1768,"Yes","S24-7",1
"335",335,"denovo409603",-0.366464364185622,1768,"Yes","Clostridiales",1
"336",336,"denovo115793",-0.366384677646799,1768,"Yes","S24-7",1
"337",337,"denovo145771",0.366240675457113,1768,"Yes","Ruminococcaceae",1
"338",338,"denovo374194",-0.365569296841513,1768,"Yes","S24-7",1
"339",339,"denovo191426",0.365377021011709,1768,"Yes","AF12",1
"340",340,"denovo146923",0.365043578608102,1768,"Yes","S24-7",1
"341",341,"denovo583806",0.364580756534755,1768,"Yes","S24-7",1
"342",342,"denovo124559",-0.364466062922379,1768,"Yes","Bacteroidales",1
"343",343,"denovo88372",0.364304659977324,1768,"Yes","distasonis",1
"344",344,"denovo360481",-0.363521390239031,1768,"Yes","Clostridiales",1
"345",345,"denovo39408",0.363306867725677,1768,"Yes","S24-7",1
"346",346,"denovo522118",0.362844045652331,1768,"Yes","Clostridiales",1
"347",347,"denovo497859",0.361939116292571,1768,"Yes","muciniphila",1
"348",348,"denovo43930",0.361739811695207,1768,"Yes","S24-7",1
"349",349,"denovo50513",0.361739811695207,1768,"Yes","Clostridiaceae",1
"350",350,"denovo1462",-0.360092356704108,1768,"Yes","Rikenellaceae",1
"351",351,"denovo294610",0.359655321811089,1768,"Yes","Clostridiales",1
"352",352,"denovo410791",0.359101571437353,1768,"Yes","Clostridiales",1
"353",353,"denovo27442",-0.358490320822405,1768,"Yes","Clostridiales",1
"354",354,"denovo259794",0.357261247704262,1768,"Yes","S24-7",1
"355",355,"denovo261910",0.357020668192542,1768,"Yes","Bacteroides",1
"356",356,"denovo595752",-0.356909742943021,1768,"Yes","Dorea",1
"357",357,"denovo476357",-0.356645341286633,1768,"Yes","RF39",1
"358",358,"denovo84389",0.355580105112228,1768,"Yes","CF231",1
"359",359,"denovo471971",0.355304008554796,1768,"Yes","S24-7",1
"360",360,"denovo336508",0.354753745268322,1768,"Yes","Bacteroides",1
"361",361,"denovo498464",0.353052551431608,1768,"Yes","CF231",1
"362",362,"denovo417642",0.347984499724304,1768,"Yes","S24-7",1
"363",363,"denovo36228",-0.3477615552958,1768,"Yes","Ruminococcaceae",1
"364",364,"denovo463339",-0.345448559267095,1768,"Yes","Clostridiales",1
"365",365,"denovo291662",0.34495682936884,1768,"Yes","CF231",1
"366",366,"denovo326780",-0.34399564271559,1768,"Yes","S24-7",1
"367",367,"denovo392893",-0.340336713268294,1768,"Yes","S24-7",1
"368",368,"denovo20073",0.340257737110854,1768,"Yes","Bacteroides",1
"369",369,"denovo422446",0.337373053931552,1768,"Yes","Clostridiales",1
"370",370,"denovo509807",-0.336986761753406,1768,"Yes","Bacteroidales",1
"371",371,"denovo8237",-0.335629536368106,1768,"Yes","schaedleri",1
"372",372,"denovo531886",-0.335137856215773,1768,"Yes","CF231",1
"373",373,"denovo285647",0.334710522226334,1768,"Yes","Lactobacillus",1
"374",374,"denovo595831",0.334532109092004,1768,"Yes","schaedleri",1
"375",375,"denovo443123",-0.333965795830132,1768,"Yes","Clostridiales",1
"376",376,"denovo482525",0.332581098781679,1768,"Yes","Lactobacillus",1
"377",377,"denovo131123",0.330879904944965,1768,"Yes","gnavus",1
"378",378,"denovo570007",0.33082891811498,1768,"Yes","S24-7",1
"379",379,"denovo81639",-0.329394566025251,1768,"Yes","S24-7",1
"380",380,"denovo66755",-0.327912685511354,1768,"Yes","S24-7",1
"381",381,"denovo188975",-0.327155915932797,1768,"Yes","S24-7",1
"382",382,"denovo110315",-0.327155915932797,1768,"Yes","S24-7",1
"383",383,"denovo217226",-0.325793519865591,1768,"Yes","S24-7",1
