,570_T2,571_T2,572_T2,573_T2,574_T2,575_T2,576_T2,577_T2,578_T2,580_T2,581_T2,582_T2,583_T2,584_T2,585_T2,586_T2,588_T2,589_T2,590_T2,591_T2,592_T2,593_T2,594_T2,595_T2,596_T2,597_T2,598_T2,599_T2,600_T2,601_T2,602_T2,603_T2,570_T5,571_T5,572_T5,573_T5,574_T5,575_T5,576_T5,577_T5,578_T5,580_T5,581_T5,582_T5,583_T5,584_T5,585_T5,586_T5,588_T5,589_T5,590_T5,591_T5,592_T5,593_T5,594_T5,595_T5,596_T5,597_T5,598_T5,599_T5,600_T5,601_T5,602_T5,603_T5
s_Streptococcus_acidominimus,0.078155184,1.198491508,0.331389888,0.404251665,-0.587431829,0.455117523,0.26038432,0.673238222,0.881244414,0.669501361,1.260926536,0.470918784,0.001178422,0.465169653,0.522674519,0.068864581,0.342472759,0.442312988,0.864723833,0.448369366,0.098668982,0.325178905,0.008463386,-0.149242795,0.312486987,0.373915908,-0.107763733,1.341007782,-0.145940779,0.621024983,-0.145898935,-0.34055301,0.379509239,1.073553095,0.757985819,0.036325513,0.141068868,-0.064219789,0.787698596,1.757062038,0.212259977,-0.035329001,0.955416237,0.371155218,0.09065023,0.110832339,1.053263089,0.145921653,0.247626319,0.231013824,0.779650672,0.500027547,-0.077094087,0.215226196,-0.202022848,0.869763822,0.33349544,-0.355784549,0.497886579,0.078516898,0.047416641,0.304203273,0.205155085,0.490428716
s_Methyloversatilis_sp._RAC08,0.748174134,0.266141135,0.404788053,0.564711514,0.690745468,0.290139719,0.652348741,-0.079256515,0.327458516,0.225076456,-0.101375398,0.326040495,0.616663209,0.282466344,0.23231148,0.547840378,0.434659202,0.351564487,0.187510893,0.308915204,0.692617449,0.732073606,0.804834656,0.535790751,0.586140393,0.36170032,0.788365855,-0.051388452,0.693994134,0.274604093,0.59013981,0.664533221,0.33357694,0.446044297,0.416087257,0.587592107,0.538628796,0.542506159,0.507714791,0.421116294,0.551890724,0.526465437,0.325747694,0.387042577,0.678583856,0.511391468,-0.146032126,0.688055305,0.507291526,0.565002102,0.493676541,0.509596998,0.547945872,0.638292965,0.669607113,0.265000433,0.575507476,0.725898678,0.675693455,0.694809984,0.594115362,0.37698434,0.624683193,0.301920661
s_Labrenzia_sp._VG12,0.438204151,0.428971348,0.339633958,0.444567202,0.596062444,0.400995076,0.179622964,0.118720939,0.454650498,0.395701973,0.070474859,0.482996225,0.46051652,0.296118433,0.348751332,0.322266692,0.417125147,0.480270391,0.286645982,0.402477373,0.692617449,0.616074692,0.817585284,0.560930335,0.513705177,0.459546641,0.495962208,0.113199898,0.363803179,0.39620217,0.302457738,0.542539653,0.512760008,0.484107884,0.669560348,0.463596981,0.435617078,0.45565567,0.605067872,0.532519124,0.51984751,0.748955891,0.607580242,0.455568323,0.42579884,0.611162622,0.043669538,0.481222244,0.485220215,0.576336587,0.546197751,0.535708142,0.657180385,0.696392556,0.825953184,0.273584176,0.526670582,0.541623996,0.569830048,0.429650671,0.501274425,0.493103801,0.563590137,0.520799814
s_Desulfosporosinus_meridiei,0.190844642,0.76996848,0.477466432,0.38615644,-0.006172931,0.591502692,0.135029588,0.97773903,0.581919107,1.003173782,1.309926917,0.837989083,0.265527658,0.460387243,0.918048724,0.175791267,0.284940556,0.58822348,0.928667293,0.677650595,0.016467845,0.302023022,0.118083111,0.098248397,0.149259089,0.620189445,0.127123221,1.277248867,0.151156292,0.669335646,0.136790616,0.140234105,0.406088876,0.522574164,0.524280063,0.347538083,0.230155954,0.205856915,0.205614343,0.634560885,0.349281775,0.177070011,0.44741149,0.590019162,0.20666804,0.311206387,1.312065967,0.210972338,0.282066809,0.381228714,0.565441449,0.497888509,0.209633332,0.224317168,0.066511555,0.733116506,0.327525273,0.208274931,0.089715109,0.165528275,0.100475681,0.610886837,0.137641504,0.447677549
s_Pseudomonas_resinovorans,0.490883447,0.470428062,0.412450926,0.518747541,0.722846989,0.531636672,0.389596052,0.258904911,0.477195736,0.383371361,0.148980716,0.280055381,0.57388683,0.270945479,0.279502411,0.428356869,0.387200712,0.393053781,0.316935504,0.308915204,0.673871406,0.634093198,0.740479436,0.455238749,0.627649437,0.485548106,0.665582809,0.117980784,0.453786326,0.278156495,0.526110065,0.607869,0.461363307,0.432372209,0.552248899,0.7074056,0.472089451,0.585802965,0.417910896,0.407556764,0.569983322,0.504462349,0.438924876,0.432407652,0.560984492,0.533013932,0.171208749,0.569795511,0.540014282,0.454446769,0.578695035,0.535708142,0.608390221,0.50404917,0.488822836,0.197007677,0.564229161,0.561943998,0.616990063,0.516139118,0.46216596,0.418680521,0.581531056,0.518660776
s_Desulfotomaculum_ferrireducens,0.33145571,0.672021267,0.617414959,0.264067692,0.202253278,0.612953536,0.457915296,1.106805363,0.55772828,0.995803565,1.366121475,0.488980684,0.23240728,0.482199393,0.814864488,0.268537343,0.286285546,0.267233608,0.591413501,0.630397711,0.156474017,0.36445464,-0.085222098,0.074304715,0.166834234,0.333369813,0.355086059,1.354948528,0.284436649,0.610059036,0.280591915,0.091759348,0.389559574,0.613545943,0.459693056,0.259469065,0.440492758,0.253052607,0.422375189,1.019570388,0.416104271,0.196933154,0.254328005,0.628579845,0.242530761,0.451722674,1.441841609,0.192367151,0.213352916,0.106332957,0.488200826,0.481698193,0.039840413,-0.028290922,-0.021618837,0.449474843,0.376600541,-0.03450073,0.351453787,0.13061201,0.343531394,0.659763735,0.219558627,0.510058572
s_Frankia_sp._EAN1pec,0.402914674,0.367883656,0.460149982,0.513087148,0.447642439,0.568694686,0.160754479,0.383074759,0.489854133,0.556135396,0.322595576,0.541287784,0.382995882,0.345715374,0.518650369,0.295138025,0.31933548,0.357962461,0.32818882,0.566054674,0.313237711,0.56787259,0.525368056,0.252849629,0.54043824,0.498299627,0.418421934,0.359710474,0.409806532,0.400395049,0.349671475,0.523369736,0.448876152,0.394291456,0.637608748,0.52548964,0.357364881,0.45565567,0.577797729,0.7668449,0.576482127,0.600884258,0.598741293,0.551398697,0.402831323,0.513574875,0.451582628,0.560091931,0.538000183,0.572229805,0.635365695,0.596696554,0.580109448,0.717798678,0.651168939,0.248704581,0.516808569,0.521880018,0.521391934,0.509210684,0.351169184,0.39522886,0.462324533,0.453408224
s_Thermanaerovibrio_acidaminovorans,-0.143498424,0.535283792,0.624849938,0.262853363,-0.351754542,0.830307866,-0.004569501,0.839791753,0.697362462,0.783029733,0.95542662,0.714508026,-0.055762954,0.650191124,1.063175911,0.071994474,0.282245136,0.381908155,0.622208852,0.905538121,-0.1613694,-0.108579712,-0.329229107,-0.287692467,0.094600676,0.606288265,-0.310246433,0.700276336,-0.083092875,0.640959198,0.012227893,0.032065584,0.744121176,0.445073894,0.802462612,0.583008447,0.228954753,0.258945376,0.499501192,1.112016282,0.625465062,0.248528975,0.712300553,0.908667818,0.147220581,0.277258795,0.796575914,0.504398252,0.46590631,0.435754636,0.928954459,0.606349139,-0.047016631,0.069663596,0.039795808,0.588925065,0.353531467,0.083475524,0.366360895,0.199266415,0.490931126,0.476574499,0.12312422,0.489326788
s_Oceanimonas_sp._GK1,0.259482211,0.476500955,0.49448812,0.443553517,0.365998449,0.576648771,0.392118121,0.52634122,0.489854133,0.384611286,0.424423767,0.448804861,0.316608465,0.375378566,0.594341189,0.191165434,0.511577326,0.430520399,0.385516768,0.502297708,0.383760379,0.354779375,0.45116684,0.230990835,0.533217992,0.51281367,0.464285351,0.237705053,0.350731097,0.326608878,0.446745324,0.558238562,0.466520616,0.441182839,0.530804189,0.573777612,0.388584898,0.384661348,0.468084996,0.875139946,0.555204728,0.583563397,0.452095339,0.600684034,0.400893338,0.501506709,0.499324391,0.44905747,0.518661158,0.575311471,0.650651119,0.631018322,0.560128763,0.586107212,0.539367002,0.31747837,0.548990771,0.469694264,0.61890761,0.547851855,0.485243907,0.373526123,0.537176276,0.553382833
s_Streptomyces_sp._fd1-xmd,0.500051815,0.459197724,0.400161985,0.536463622,0.653680522,0.610403599,0.271813016,0.428012496,0.353022903,0.363320564,0.368089293,0.395220614,0.51935702,0.439068606,0.628336194,0.381315721,0.471068229,0.351564487,0.314875771,0.563706336,0.513148961,0.612860978,0.585350761,0.38553607,0.456691639,0.463591136,0.443378666,0.146195821,0.43127975,0.36851137,0.419958008,0.407198305,0.518636617,0.360002382,0.621241771,0.516528277,0.410875588,0.408215945,0.590114322,0.712159714,0.444222337,0.543725844,0.585743547,0.522760719,0.487257884,0.690063386,0.254978632,0.524807124,0.477753514,0.42746566,0.613202464,0.556117013,0.533542331,0.534371538,0.598895733,0.276784179,0.483556135,0.536724427,0.395524566,0.448296333,0.438542814,0.396358165,0.536432505,0.429115531
