,578_T2,580_T2,581_T2,582_T2,583_T2,584_T2,585_T2,586_T2,589_T2,591_T2,593_T2,595_T2,597_T2,599_T2,601_T2,603_T2
Cholic acid methyl ester.1,1847,0,0,0,12834,0,14959,0,0,0,0,0,0,0,0,0
Cholic acid methyl ester.2,0,0,0,26717,8308,0,0,0,0,0,0,0,0,0,0,0
Deoxycholic acid,0,47959,0,0,0,0,0,43548,0,0,0,45969,0,0,0,0
Deoxycholic acid.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deoxycholic acid.2,0,15890,0,21250,0,0,0,0,0,0,0,0,0,0,0,0
12-Ketodeoxycholic acid (NIST14),0,0,0,0,0,0,0,79884,104422,47049,32520,0,0,0,23288,21937
12-Ketodeoxycholic acid (NIST14).1,0,0,0,0,0,0,0,0,0,10059,0,0,0,0,0,0
12-Ketodeoxycholic acid (NIST14).2,518300,190461,309475,155966,205298,376269,196318,0,655577,627914,243979,267267,141587,233687,0,236024
12-Ketodeoxycholic acid (NIST14).3,0,0,28324,0,0,0,5706,0,0,0,0,0,0,0,0,0
12-Ketodeoxycholic acid (NIST14).4,0,0,0,0,0,0,84041,0,0,0,0,0,95526,0,0,0
12-Ketodeoxycholic acid (NIST14).5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3β-Hydroxy-5-cholenoic acid (NIST14),0,0,0,33918,0,68041,15410,15486,0,0,90154,0,14344,118006,0,172418
3β-Hydroxy-5-cholenoic acid (NIST14).1,107783,0,219813,233353,259834,643398,274295,197124,474672,1029796,768797,525571,730151,1034216,657462,728097
3β-Hydroxy-5-cholenoic acid (NIST14).2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6659,0
3β-Hydroxy-5-cholenoic acid (NIST14).3,0,0,0,0,0,0,0,0,0,0,0,0,5360,0,0,0
3β-Hydroxy-5-cholenoic acid (NIST14).4,0,28684,0,61866,0,56620,0,125196,0,120561,50530,0,33422,65458,136338,0
3β-Hydroxy-5-cholenoic acid (NIST14).5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3β-Hydroxy-5-cholenoic acid (NIST14).6,369276,478970,0,0,0,0,0,0,0,0,0,531266,0,0,0,0
3β-Hydroxy-5-cholenoic acid (NIST14).7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14),0,0,0,0,0,18428,0,0,0,0,0,37174,0,0,0,0
Cholic acid (NIST14).1,0,0,0,0,0,0,0,0,9802,0,0,0,0,10748,5412,0
Cholic acid (NIST14).2,0,0,38325,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).4,0,0,0,0,0,0,0,0,0,0,0,0,284045,0,203529,0
Cholic acid (NIST14).5,0,59365,56935,0,0,0,0,0,388395,485160,376913,269763,0,164266,281430,141691
Cholic acid (NIST14).6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).7,0,7369,0,0,25856,0,0,0,0,0,0,0,0,0,0,35879
Cholic acid (NIST14).8,7613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101787
Cholic acid (NIST14).10,0,0,0,0,0,0,0,0,0,0,0,0,0,19240,0,0
Cholic acid (NIST14).11,0,0,0,0,0,0,4861,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).14,0,0,108858,0,0,0,0,0,352709,438159,655612,458381,0,426856,30509,194934
Cholic acid (NIST14).15,0,49121,0,0,0,0,0,0,64645,0,0,0,41326,0,0,17886
Cholic acid (NIST14).16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).17,13575,9779,4251,13412,19007,3901,15811,0,33412,57232,29912,58162,39954,51795,78362,41606
Cholic acid (NIST14).18,0,51244,8386,0,0,0,0,3430,94457,65965,60731,68509,45906,56818,34585,41091
Cholic acid (NIST14).19,0,0,0,0,1650,0,0,1745,4630,8395,8362,0,2648,2297,0,1823
Cholic acid (NIST14).20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).21,0,0,11064,0,0,0,0,0,0,0,0,0,0,0,0,0
Deoxycholic acid (NIST14),0,0,0,0,0,63987,57454,0,0,80820,60808,0,0,0,0,0
Deoxycholic acid (NIST14).1,17658,3759,7340,0,0,38674,7231,8079,37069,3891,12008,0,27872,3901,2516,0
Deoxycholic acid (NIST14).2,0,13140,0,0,0,2929,0,0,66580,943051,0,542473,0,0,0,509868
Deoxycholic acid (NIST14).3,257289,64266,100877,316083,419766,0,257355,59550,399480,5828,0,520142,208707,173015,472745,157521
Deoxycholic acid (NIST14).4,0,0,2988,0,0,0,10961,0,0,5572,0,1548,0,0,0,0
Deoxycholic acid (NIST14).5,132932,169650,69382,0,0,434281,0,266322,332990,98137,439938,0,108163,452331,68484,0
Deoxycholic acid (NIST14).6,0,0,0,0,0,0,0,0,2333,0,0,0,0,0,0,1889
Deoxycholic acid (NIST14).7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deoxycholic acid (NIST14).8,0,0,0,18957,34638,0,36601,108530,47080,24599,0,0,0,15153,288371,86827
Deoxycholic acid (NIST14).9,24372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2707
Deoxycholic acid (NIST14).10,360383,0,0,0,0,0,0,0,117947,0,0,0,0,0,0,0
Deoxycholic acid (NIST14).11,0,0,0,0,0,0,97202,0,0,67532,0,78828,35246,65354,0,0
Deoxycholic acid (NIST14).12,0,0,12602,0,6283,0,0,0,0,0,0,0,0,0,0,0
Lithocholic acid (NIST14),0,0,0,0,0,0,0,0,19859,12843,4741,18950,12072,7950,15096,21592
Tauroursodeoxycholic acid (NIST14),0,1966,0,0,0,0,0,0,0,16315,0,25753,8593,18310,7227,10209
Tauroursodeoxycholic acid (NIST14).1,11631,0,0,0,0,0,0,0,27214,10926,7710,15667,1709,8095,0,43299
