"OTUID","Kingdom","Phylum","Class","Order","Family","Genus","confidence"
"f5905a766f1ee6d4af7e0434f8ececde","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Rikenellaceae"," g__",0.955474684007945
"3412eb59af1e9c6bcd96d45c01e941b4","k__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__RF32"," f__"," g__",0.999999999955392
"5a1cbfd80223a2900dd7de2137d3abba","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Rikenellaceae"," g__AF12",0.99999990486882
"997d8b4e348e3300a8816d51ff56255b","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999823919962333
"f928badee096dda7b52c11f480b71f1b","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Ruminococcaceae",NA,0.999718523107716
"28180ce35a01bcafb94b066753031b2a","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__"," g__",0.919367580716053
"2e40536ae1185162a31f9547fd870d61","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae",NA,0.999195661949013
"2dba09cb8ca324253d1b60c9e3981d72","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales",NA,NA,0.999999991129132
"7cba75b1c3a66a333102a8f0e4ae35bf","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae"," g__",0.904335699924734
"3a34da1ef8f5de3168ca1f642111adb4","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales",NA,NA,0.999999991048222
"f901b3059aaee1d17e782c63cb0088b4","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae",NA,0.874204620472573
"73aa97f3b058b466b033a316de6ce38c","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Bacteroidaceae"," g__Bacteroides",0.999988183974756
"03be790b71628659a2ab53162ab876cf","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales",NA,NA,0.999999895383424
"32a785efe029189e18277cb04adaa7b3","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae",NA,0.921344099542895
"4432a6cb89ffde9daa52a8b5312c04f0","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__"," g__",0.725325514096028
"f72e816ab95edefeb88a3c1c60300aad","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales",NA,NA,0.999763503600962
"d4140420ae9593f82e2276b969d60c84","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999194008777
"0432b7c74cad26c6be25ebb6722afbfd","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae",NA,0.982350479684661
"2e8a7f07dd0b96ae201ab479356a09c2","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Ruminococcaceae",NA,0.999216774100022
"08f9ee9ab61ac07023b6e9a1638081c6","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae"," g__",0.918545446473952
