,baseMean,log2FoldChange,Abs,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,Order,Family,Genus,confidence
7513845831df8ed971745f71a4ac3fb1,41.5327239081088,-2.08693974437321,2.08693974437321,2.59419911682252,-0.804463979206568,0.421129064277754,0.993163840265996,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus,0.8822197
4b97cbe0d243e108b5870789059ed0d7,20.7280183394271,-2.0102998794178,2.0102998794178,2.90132659025273,-0.692889896012256,0.488378651010354,0.993163840265996,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,1
e19798f8cfd40879dd24a317312bde7b,84.9646597250052,1.9397483787056,1.9397483787056,1.57109221599328,1.23464960169716,0.21696094018346,0.92301128367634,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella,0.9999762
7fd3cf7fb44c555f5cc0043be73104d8,55.3411529867367,1.93734880147717,1.93734880147717,2.26554659658503,0.855135270401162,0.392476265709979,0.993163840265996,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,1
c54baab6bd2aa64d75a9b647df7fc8ba,9.20431548324588,1.90578065492291,1.90578065492291,2.90648767514883,0.655698859904964,0.512017902572794,0.993163840265996,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999492
204e510b011e864f299cf4993d478c85,30.4717483834683,-1.88789188270049,1.88789188270049,2.64170820057628,-0.714648151634861,0.474826483120241,0.993163840265996,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides,0.9819353
1c346134371daba583451f711fe76e1a,32.3090923951936,-1.8866396377251,1.8866396377251,2.88272164801463,-0.654464727464913,0.512812444739186,0.993163840265996,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,1
be43da52e9710f5f0179d39616a0cd02,69.8218515029239,1.85112683534434,1.85112683534434,2.76167369791745,0.670291655650792,0.502671885382503,0.993163840265996,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999999
fc9b91016b3b32f0c41f9a1e093bda80,30.0732961819168,-1.83637880431881,1.83637880431881,2.88485865053252,-0.636557636534402,0.524413026938128,0.993163840265996,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999145
20b09d01893b8fa0d699a4078565b7ef,26.7189985322974,1.78303771621684,1.78303771621684,2.89669487546984,0.615542123996625,0.538196759386585,0.993163840265996,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999992
cf32fb1a1851ffab51de8b752990d321,128.506011815302,1.77568747966325,1.77568747966325,1.37246846670786,1.29379109446689,0.195737589618025,0.915205486592387,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,1
3440e49bbd5cc4432ab49dd963d49bcd,119.822565459425,1.76141755717973,1.76141755717973,1.38011820243019,1.27628021576567,0.201856481278689,0.918978191084559,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,1
