"OTUID","Kingdom","Phylum","Class","Order","Family","Genus","confidence"
"ae6f858a33e49815fcd83690ada389c8","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999943268806
"dd9638b9f5a15e2a9d6394ad04444d21","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999968669286
"e3e20348b3527232a0c237f9d7811f3c","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Rikenellaceae"," g__",0.867124613936934
"6822dc1497ea5724bc61e02b3cf0511f","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999769340802
"2e644a61d0aedb0afba39a04177de7f4","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999802511686
"0cc8dadc34650e1d79815b5f3fab5efe","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.99999945613512
"35782ee448589c93a59ce4719dafc0f2","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.998580577320698
"36c7395784ef4aee8b64edeb937ba621","k__Bacteria"," p__Deferribacteres"," c__Deferribacteres"," o__Deferribacterales"," f__Deferribacteraceae"," g__Mucispirillum",0.999999991645183
"564bb4db498125e08f141d6e48c9dcc7","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Bacteroidaceae"," g__Bacteroides",0.960994245586805
"66bbba590630ffe63f0c083472189619","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.99999988290542
"9fb556645444d1f9d5c124e5c343ee7b","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999737997376
"0c7ce3bfe1a4347ffec132b70d3833a9","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999781386246
"d4a552739e270b6188e83103b91ef909","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Bacteroidaceae"," g__Bacteroides",0.969643746625537
"562438981c3292e786f329b2c84e4cb7","k__Bacteria"," p__Deferribacteres"," c__Deferribacteres"," o__Deferribacterales"," f__Deferribacteraceae"," g__Mucispirillum",0.999999995094669
"6fee28a58b63200768d9fdbfaa9ebea1","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.9991764173575
"577c52c4a197b72ab9b700df942d53f8","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999491581308
"e19798f8cfd40879dd24a317312bde7b","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Prevotellaceae"," g__Prevotella",0.999976199542572
"e5e4068cb7d7c0101908b81c1106084c","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999940794966
"40b98f89d88946c7fef1c79ce1ed80f8","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.998781100481403
"0b2a2fd1108f186dc940c382e50a4846","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999995897876674
"932dcd7db9a5a0a103ad457d0b156708","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999741114569
"fc340939384b5acd146d49441178af0e","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999959141364
"b2c1c518a311037462a93c63f9dfdf95","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Lactobacillaceae"," g__Lactobacillus",0.87959620153449
"f0238022104202ef0f46df5eee21eaf6","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999878686019
"3ea92b169d61c716e986e62506994cdb","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Bacteroidaceae"," g__Bacteroides",0.985050822761395
"59989e04214c6c92107da205d77fd75a","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Bacteroidaceae"," g__Bacteroides",0.98038001564291
"fbd9cf7d3bc31c942a6499c91e061b6a","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Lactobacillaceae"," g__Lactobacillus",0.883863580578438
"fec02dc924426ff759f6e00bf9d863ad","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999952886556
"d72de21351327f57ef58860b9b39b81b","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.99997825909713
"7bd0ac80d07d6f8fa2c963dfc59c31f2","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Rikenellaceae"," g__",0.802608477065014
"6a126dc027a872af6bfe7fde7da6b492","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999949225058
"e2016db4b16934f9f5dd4d170a365437","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999799663775
"b4888df798f095ac7f14c614cc7a2a15","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.99999984682145
"78f2a0e8a04135b8faff7e3ef1f9d88e","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999618558677
"7c08724b21752e0ddb401a5a9a78554e","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999368849018
