,baseMean,log2FoldChange,Absolute,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,New,Order,Family,Genus,Species,Rank1
denovo136434,9.19170209295157,1.29538052556844,1.29538052556844,0.614276320207365,2.10879124419309,0.034962604718379,0.199654874312849,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo548595,96.3470825358301,1.28278465322093,1.28278465322093,0.458289954510445,2.7990677966992,0.005125037555612,0.082775012043273,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo110872,23.8961708914964,-1.27468531395785,1.27468531395785,2.39098157055156,-0.533122182812896,0.593949004354828,0.827892193386113,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo198850,11.1411297713607,-1.25823054688829,1.25823054688829,1.16152679960204,-1.08325571766349,0.278694934754291,0.587153406229915,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo294236,170.294290942634,1.22041703665656,1.22041703665656,0.548112519716483,2.2265812087048,0.025975275993499,0.176144840330913,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo77065,8.30150595994672,1.20825627602036,1.20825627602036,0.665419796459494,1.81578047790153,0.06940405309681,0.281604119965811,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_[Paraprevotellaceae],G_CF231",Bacteroidales,[Paraprevotellaceae],CF231,NA,NA
denovo324077,29.8947080288588,-1.17620537601741,1.17620537601741,0.857741013546737,-1.37128265693374,0.170286859933809,0.479152245529862,Bacteria,Firmicutes,Bacilli,"O_Lactobacillales,F_Lactobacillaceae,G_Lactobacillus",Lactobacillales,Lactobacillaceae,Lactobacillus,NA,NA
denovo63032,1438.97314506132,-1.16815871407942,1.16815871407942,0.983699264201108,-1.18751610028714,0.235024109739968,0.537855953962834,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo442683,40.0363856591156,1.15564827048182,1.15564827048182,0.663223034059401,1.7424730612995,0.081425701247818,0.309989073171519,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo502136,45.9325013022696,1.15496560694364,1.15496560694364,1.15744933463078,0.997854137012456,0.318350094115049,0.633464191920077,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo460472,693.104801243065,1.14553176950706,1.14553176950706,0.430108659489989,2.66335435065503,0.00773658960826,0.087195832393381,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_Bacteroidaceae,G_Bacteroides",Bacteroidales,Bacteroidaceae,Bacteroides,acidifaciens,NA
denovo347668,10.2828918030298,-1.13365809988212,1.13365809988212,0.695316671923833,-1.63041984416318,0.103012793416357,0.349830748691335,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Ruminococcaceae,G_NA",Clostridiales,Ruminococcaceae,NA,NA,NA
denovo272989,10.7478711445098,-1.10990041021808,1.10990041021808,1.2761935007213,-0.869696021481665,0.384466547047522,0.672816457333163,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
