,baseMean,log2FoldChange,Absolute,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,New,Order,Family,Genus,Species,Rank1
denovo317379,949.254518157691,-0.318515203573855,0.318515203573855,0.440764412831783,-0.722642741339953,0.469899402005259,0.916183302192849,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo584895,9.40548152201631,-0.313035717830781,0.313035717830781,0.587272544104478,-0.533033122309717,0.594010652226426,0.939859793119233,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Ruminococcaceae,G_Oscillospira",Clostridiales,Ruminococcaceae,Oscillospira,NA,NA
denovo323807,114.59623567749,0.311795003588654,0.311795003588654,0.363051866574522,0.858816693412189,0.390441656134254,0.897206799254548,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo362470,5.37117868984543,-0.309510250162923,0.309510250162923,0.676084117234126,-0.457798434060448,0.647097260946157,0.956951267972511,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo394285,4.75668843798082,0.309304481775775,0.309304481775775,0.746807576577107,0.41416891241708,0.678750407236735,0.962123581677638,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo530277,7.3505559948215,-0.305808399747694,0.305808399747694,0.576630073395689,-0.530337236743193,0.595878133502115,0.939859793119233,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo322466,4.8774316452454,-0.304583913455971,0.304583913455971,0.79952246901839,-0.380957290456042,0.703234940360005,0.971832555606002,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo170308,221.577443474408,0.301633649673919,0.301633649673919,0.393424934682732,0.766686661375858,0.443267836112523,0.903830488719039,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_Porphyromonadaceae,G_Parabacteroides",Bacteroidales,Porphyromonadaceae,Parabacteroides,distasonis,NA
denovo22227,2.29085893784787,0.300688550686559,0.300688550686559,0.882145479726202,0.340860501580631,0.733208601148828,0.974392428541899,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo475321,3.54728562993254,-0.296006558798242,0.296006558798242,0.653752589471095,-0.452780705676011,0.650706658362608,0.956951267972511,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo1752,650.256754186841,0.2932200934125,0.2932200934125,0.529044368651906,0.554244805893452,0.57941131807798,0.935972129202891,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo408582,170.528156038557,-0.292813648814096,0.292813648814096,0.462239465189958,-0.633467435961496,0.526428439557756,0.931352841286217,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo488023,39.4507746204678,-0.292083983809822,0.292083983809822,0.686515154159232,-0.42545890216733,0.670502175154505,0.95949192966327,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Ruminococcaceae,G_Oscillospira",Clostridiales,Ruminococcaceae,Oscillospira,NA,NA
denovo411897,2.33429837244594,-0.290253297522397,0.290253297522397,0.91381819535712,-0.317626962340104,0.750767919482586,0.977705182835815,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo593448,2.2474506047676,-0.289326700811887,0.289326700811887,0.802953831715119,-0.360327940890302,0.718601906890633,0.97318681719015,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo403339,3.99820535573266,-0.288544444703429,0.288544444703429,0.678791672040998,-0.425085422506482,0.670774404252573,0.95949192966327,Bacteria,Firmicutes,Bacilli,"O_Lactobacillales,F_Lactobacillaceae,G_Lactobacillus",Lactobacillales,Lactobacillaceae,Lactobacillus,NA,NA
denovo303145,523.02278660049,0.283450418147079,0.283450418147079,0.384699451184726,0.736810040342301,0.461237876550034,0.916183302192849,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo589091,2.67856890917939,-0.283337000477282,0.283337000477282,0.808399947399179,-0.350491116914154,0.725970155576515,0.97318681719015,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo247345,479.001797701469,0.27818584224715,0.27818584224715,0.340369270786998,0.817305985360933,0.41375358714987,0.897592685837338,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo309941,10.2984843844859,-0.277841700686053,0.277841700686053,0.491234364508095,-0.565599071971021,0.571666358845611,0.935972129202891,NA,NA,NA,"O_NA,F_NA,G_NA",NA,NA,NA,NA,Unassigned
denovo200475,2.55613954705225,0.277508463581139,0.277508463581139,0.752950819208714,0.368561208118182,0.712454814426037,0.97318681719015,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo227733,12.584209381002,-0.275064151578203,0.275064151578203,0.487347450855661,-0.564410773248652,0.572474608706212,0.935972129202891,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo69405,2.71991902965768,0.273746695788739,0.273746695788739,0.852762751100761,0.321011553841186,0.748201635210084,0.977705182835815,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo129386,6.2761956017588,-0.273058958498747,0.273058958498747,1.00644731256784,-0.271309739803534,0.786152816035548,0.986852105621481,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo413403,3.06229780836665,-0.271882916656933,0.271882916656933,0.799829011737855,-0.339926300080301,0.733912030140459,0.974392428541899,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_Bacteroidaceae,G_Bacteroides",Bacteroidales,Bacteroidaceae,Bacteroides,NA,NA
